W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName,download_timestamp
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1,11.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,15.428571954065458,11.571428965549092,1.33333333,0.0,0.36363636,0.27272727,0.25,2.1428572158424246,0.5,1.0,4.901732377616727,-4.901732377616727,0.09090909,,,2026,Hunter Alexander,CARK,sa3025880,,/players/hunter-alexander/sa3025880/stats/pitching,46,University of Central Arkansas ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.1,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.7000000643730178,2.7000000643730178,1.0,0.0,0.09090909,0.09090909,0.2,0.9000000214576727,0.22222222,1.0,4.246178634166718,-4.246178634166718,0.0,22.0,22.0,2026,Johnny Alkire,HAW,sa3025899,,/players/johnny-alkire/sa3025899/stats/pitching,94,University of Hawaii Manoa ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.5,9.0,0.5,0.0,0.11111111,0.22222222,0.14285714,1.5,0.16666667,1.0,5.986403179168701,-5.986403179168701,-0.11111111,,,2026,Tyler Alleman,SCU,sa3025906,,/players/tyler-alleman/sa3025906/stats/pitching,226,Santa Clara University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,5.0,0.0,0.27777778,0.0,0.11764706,0.4,0.16666667,1.0,3.2658565521240237,-3.2658565521240237,0.27777778,21.0,21.0,2026,Cooper Allen,UNCW,sa3025912,,/players/cooper-allen/sa3025912/stats/pitching,187,University of North Carolina Wilmington ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.200000386238106,0.0,3.0,0.0,0.42857143,0.0,0.28571429,1.2000000286102301,0.5,1.0,-0.0941276454925557,0.0941276454925557,0.42857143,22.0,22.0,2026,Joe Allen,CLEM,sa3025919,,/players/joe-allen/sa3025919/stats/pitching,49,Clemson University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,10.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,27.00000064373018,16.200000386238106,1.66666667,0.0,0.5,0.3,0.16666667,2.4000000572204603,1.0,1.0,5.650639944076539,-5.650639944076539,0.2,22.0,22.0,2026,Dylan Alonso,TROY,sa3025958,,/players/dylan-alonso/sa3025958/stats/pitching,272,Troy University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.2,0.0,0.5,2.0,0.66666667,1.0,5.265508842468262,-5.265508842468262,0.2,,,2026,Ian Anderson,USI,sa3026044,,/players/ian-anderson/sa3026044/stats/pitching,240,University of Southern Indiana ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.99999919533732,0.0,1.0,0.0,0.33333333,0.0,0.66666667,5.999999821186071,1.0,1.0,0.5341881632804819,-0.5341881632804819,0.33333333,23.0,23.0,2026,Jake Andrews,MSM,sa3026084,,/players/jake-andrews/sa3026084/stats/pitching,161,Mount St. Mary's University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,13.50000032186509,5.4000001287460355,2.5,0.0,0.5,0.2,0.0,0.6000000143051151,0.0,1.0,4.66543480873108,-4.66543480873108,0.3,21.0,21.0,2026,Anthony Anzaldi,NJIT,sa3026124,,/players/anthony-anzaldi/sa3026124/stats/pitching,171,New Jersey Institute of Technology ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,8.0,0.0,0.8,0.0,0.2,0.6666666666666666,1.0,1.0,-1.4922577222188305,1.4922577222188305,0.8,23.0,23.0,2026,Caden Aoki,UGA,sa3026126,,/players/caden-aoki/sa3026126/stats/pitching,86,University of Georgia ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,3.758942794799805,-3.758942794799805,0.5,,,2026,Issac Araiza,SDSU,sa3026136,,/players/issac-araiza/sa3026136/stats/pitching,222,San Diego State University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,13.49999959766866,26.99999919533732,0.5,0.0,0.25,0.5,0.0,2.9999999105930355,0.0,1.0,9.975663673877722,-9.975663673877722,-0.25,22.0,22.0,2026,Ganon Archer,IOWA,sa3026151,,/players/ganon-archer/sa3026151/stats/pitching,107,University of Iowa ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,40.49999879300598,0.0,0.0,0.0,0.6,0.0,4.499999865889553,0.0,1.0,17.95063951313497,-17.95063951313497,-0.6,,,2026,JW Armistead,USM,sa3026193,,/players/jw-armistead/sa3026193/stats/pitching,236,University of Southern Mississippi ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.5,9.0,0.5,0.0,0.11111111,0.22222222,0.28571429,2.0,0.33333333,1.0,6.0775196075439455,-6.0775196075439455,-0.11111111,,,2026,Jeremiah Arnett,RICE,sa3026218,,/players/jeremiah-arnett/sa3026218/stats/pitching,215,Rice University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,0.0,4.0,0.0,0.4,0.0,0.11111111,0.3333333333333333,0.2,1.0,1.7892804463704433,-1.7892804463704433,0.4,21.0,21.0,2026,Tyler August,LIB,sa3026303,,/players/tyler-august/sa3026303/stats/pitching,122,Liberty University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0,0.0,0.25,0.25,0.0,1.0,0.0,1.0,4.986403179168701,-4.986403179168701,0.0,,,2026,Nick Bacura,SF,sa3026372,,/players/nick-bacura/sa3026372/stats/batting,223,University of San Francisco ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,17.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,2.25,4.0,0.0,0.23529412,0.05882353,0.125,0.75,0.16666667,0.66666667,2.7364031791687013,-2.7364031791687013,0.17647059,21.0,21.0,2026,Kyle Bade,USD,sa3026376,,/players/kyle-bade/sa3026376/stats/pitching,225,University of San Diego ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,21.600000514984142,10.800000257492071,2.0,0.0,0.57142857,0.28571429,0.0,1.2000000286102301,0.0,1.0,3.250639886856079,-3.250639886856079,0.28571429,24.0,24.0,2026,Tim Baird,MRSH,sa3026419,,/players/tim-baird/sa3026419/stats/pitching,140,Marshall University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,3.0,3.0,0.0,0.3,0.1,0.22222222,1.0,0.33333333,1.0,2.260496330261231,-2.260496330261231,0.2,21.0,21.0,2026,Jackson Baker,HOU,sa3026439,,/players/jackson-baker/sa3026439/stats/pitching,98,University of Houston ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4000001287460355,0.0,1.0,0.0,0.14285714,0.0,0.28571429,1.2000000286102301,0.33333333,0.5,3.3820566844940183,-3.3820566844940183,0.14285714,,,2026,Elian Balmaceda,SFA,sa3026497,,/players/elian-balmaceda/sa3026497/stats/pitching,252,Stephen F. Austin State University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,1.0,0.0,0.33333333,0.0,0.33333333,1.0,0.5,1.0,2.5820567131042482,-2.5820567131042482,0.33333333,,,2026,Luke Barbier,SELA,sa3026541,,/players/luke-barbier/sa3026541/stats/pitching,238,Southeastern Louisiana University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0,9.0,2.0,0.0,0.4,0.2,0.25,2.0,0.5,1.0,5.4372984886169435,-5.4372984886169435,0.2,21.0,21.0,2026,Alex Barger,SBU,sa3026555,,/players/alex-barger/sa3026555/stats/pitching,243,St. Bonaventure University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.4000001287460355,5.4000001287460355,1.0,0.0,0.14285714,0.14285714,0.16666667,1.2000000286102301,0.2,1.0,4.546178641319275,-4.546178641319275,0.0,23.0,23.0,2026,Rowen Barnes,UCD,sa3026604,,/players/rowen-barnes/sa3026604/stats/pitching,277,University of California Davis ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.758942794799805,-2.758942794799805,0.5,,,2026,Josh Barnhouse,UNM,sa3026608,,/players/josh-barnhouse/sa3026608/stats/pitching,168,University of New Mexico ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,18.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,1.8,5.0,0.0,0.27777778,0.05555556,0.17647059,0.8,0.25,1.0,2.5864031791687014,-2.5864031791687014,0.22222222,23.0,23.0,2026,Gabriel Barrett,SF,sa3026633,,/players/gabriel-barrett/sa3026633/stats/pitching,223,University of San Francisco ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,14.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,12.272727006723079,4.9090908026892315,2.5,0.0,0.35714286,0.14285714,0.09090909,0.8181818004482052,0.16666667,1.0,2.987769063445162,-2.987769063445162,0.21428572,23.0,23.0,2026,Reese Bassinger,WVU,sa3026696,,/players/reese-bassinger/sa3026696/stats/pitching,296,West Virginia University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0,0.0,0.25,0.25,0.0,1.0,0.0,1.0,6.865434837341309,-6.865434837341309,0.0,,,2026,Ryan Bates,BING,sa3026716,,/players/ryan-bates/sa3026716/stats/pitching,25,State University of New York at Binghamton ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.5,0.0,3.0,0.0,0.375,0.0,0.125,0.5,0.2,1.0,1.4731609344482424,-1.4731609344482424,0.375,23.0,23.0,2026,Justin Battle,UNA,sa3026724,,/players/justin-battle/sa3026724/stats/pitching,190,University of North Alabama ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,26.99999919533732,0.0,0.0,0.0,0.33333333,0.0,2.9999999105930355,0.0,1.0,24.534187448024763,-24.534187448024763,-0.33333333,23.0,23.0,2026,Andrew Baumgart,NIA,sa3026752,,/players/andrew-baumgart/sa3026752/stats/pitching,172,Niagara University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,16.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,11.25,4.5,2.5,0.0,0.3125,0.125,0.21428571,1.25,0.33333333,1.0,2.9864031791687013,-2.9864031791687013,0.1875,21.0,21.0,2026,Max Bayles,SCU,sa3026768,,/players/max-bayles/sa3026768/stats/pitching,226,Santa Clara University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.49999959766866,0.0,2.0,0.0,0.4,0.0,0.2,0.7499999776482589,0.33333333,1.0,1.2655089318752264,-1.2655089318752264,0.4,,,2026,Josh Beezley,LR,sa3026874,,/players/josh-beezley/sa3026874/stats/batting,15,University of Arkansas Little Rock ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.428571428571429,0.0,5.0,0.0,0.2,0.0,0.24,0.8571428571428571,0.3,1.0,2.836937413896833,-2.836937413896833,0.2,21.0,21.0,2026,Seth Benes,LIN,sa3026951,,/players/seth-benes/sa3026951/stats/pitching,123,Lindenwood University,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,13.49999959766866,13.49999959766866,1.0,0.0,0.2,0.2,0.33333333,2.9999999105930355,0.5,1.0,11.46483708620072,-11.46483708620072,0.0,23.0,23.0,2026,Derek Benzinger,HALL,sa3027005,,/players/derek-benzinger/sa3027005/stats/batting,228,Seton Hall University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2,11.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,13.49999959766866,3.374999899417165,4.0,0.0,0.36363636,0.09090909,0.2,1.1249999664723882,0.33333333,1.0,2.9309699617326244,-2.9309699617326244,0.27272727,22.0,22.0,2026,Austin Berggren,M-OH,sa3027029,,/players/austin-berggren/sa3027029/stats/pitching,149,Miami University (Ohio) ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,0.0,0.66666667,0.0,0.0,0.0,0.0,1.0,0.8059699058532717,-0.8059699058532717,0.66666667,23.0,23.0,2026,Rocco Bernadina,KENT,sa3027058,,/players/rocco-bernadina/sa3027058/stats/pitching,116,Kent State University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,0.0,0.66666667,0.0,0.0,0.0,0.0,1.0,-0.04807691574096662,0.04807691574096662,0.66666667,,,2026,Noah Berry,SAM,sa3027073,,/players/noah-berry/sa3027073/stats/pitching,221,Samford University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.24999939650299,0.0,3.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.4826591879129376,-1.4826591879129376,0.75,,,2026,Ryan Bibb,NAVY,sa3027128,,/players/ryan-bibb/sa3027128/stats/pitching,163,U.S. Naval Academy ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.99999919533732,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.494127380847936,2.494127380847936,1.0,22.0,22.0,2026,Ryan Bilka,MIA,sa3027152,,/players/ryan-bilka/sa3027152/stats/batting,148,University of Miami (Florida) ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,12.0,0.0,8.0,0.0,0.4,0.0,0.05263158,0.16666666666666666,0.09090909,1.0,1.2892804463704435,-1.2892804463704435,0.4,,,2026,Ben Blair,LIB,sa3027209,,/players/ben-blair/sa3027209/stats/pitching,122,Liberty University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,0.0,4.0,0.0,0.21052632,0.0,0.21052632,0.8,0.26666667,1.0,6.0911003112792965,-6.0911003112792965,0.21052632,,,2026,Ethan Blakeney,NORF,sa3027222,,/players/ethan-blakeney/sa3027222/stats/pitching,174,Norfolk State University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,22.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,16.2,3.6,4.5,0.0,0.40909091,0.09090909,0.25,1.4,0.45454545,1.0,1.4410756111145022,-1.4410756111145022,0.31818182,22.0,22.0,2026,Evan Blanco,TENN,sa3027230,,/players/evan-blanco/sa3027230/stats/pitching,256,University of Tennessee Knoxville ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,25.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,7.0,0.0,0.28,0.0,0.08333333,0.2857142857142857,0.11764706,0.66666667,2.8792113440377376,-2.8792113440377376,0.28,,,2026,Bryce Blevins,MRSH,sa3027265,,/players/bryce-blevins/sa3027265/stats/pitching,140,Marshall University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.1,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,19.285714942581823,0.0,5.0,0.0,0.625,0.0,0.0,0.0,0.0,1.0,0.946178524834766,-0.946178524834766,0.625,21.0,21.0,2026,Nick Bonn,CP,sa3027372,,/players/nick-bonn/sa3027372/stats/pitching,34,California Polytechnic State University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.714285977032729,0.0,2.0,0.0,0.22222222,0.0,0.33333333,1.2857143295054547,0.42857143,1.0,2.7588751617743026,-2.7588751617743026,0.22222222,24.0,24.0,2026,Collin Bosley-Smith,LIP,sa3027423,,/players/collin-bosley-smith/sa3027423/stats/pitching,124,Lipscomb University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,22.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,14.4,3.6,4.0,0.0,0.36363636,0.09090909,0.2,1.2,0.33333333,1.0,1.9519230842590334,-1.9519230842590334,0.27272727,,,2026,Alec Bouchard,WOF,sa3027441,,/players/alec-bouchard/sa3027441/stats/pitching,303,Wofford College ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,2.0,0.0,0.28571429,0.0,0.14285714,0.5,0.2,1.0,2.0775196075439455,-2.0775196075439455,0.28571429,,,2026,Bryan Boully,FAU,sa3027452,,/players/bryan-boully/sa3027452/stats/pitching,75,Florida Atlantic University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,18.0,2.25,8.0,0.0,0.47058824,0.05882353,0.25,1.25,0.5,1.0,1.3320567131042482,-1.3320567131042482,0.41176471,22.0,22.0,2026,Reid Bowyer,SFA,sa3027497,,/players/reid-bowyer/sa3027497/stats/pitching,252,Stephen F. Austin State University ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,21.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,13.5,3.0,4.5,0.0,0.42857143,0.0952381,0.10526316,0.6666666666666666,0.2,1.0,1.572165203094483,-1.572165203094483,0.33333333,,,2026,Ty Brachbill,HPU,sa3027539,,/players/ty-brachbill/sa3027539/stats/pitching,95,High Point University ,2026-02-16T17:25:50.682125
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.25,0.0,0.25,1.0,0.33333333,1.0,1.505872440338135,-1.505872440338135,0.25,26.0,26.0,2026,Packy Bradley-Cooney,MIA,sa3027550,,/players/packy-bradley-cooney/sa3027550/stats/pitching,148,University of Miami (Florida) ,2026-02-16T17:25:50.682125
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,27.0,4.5,6.0,0.0,0.75,0.125,0.14285714,1.0,1.0,1.0,-0.4224803924560545,0.4224803924560545,0.625,21.0,21.0,2026,Jack Brafa,TULN,sa3027571,,/players/jack-brafa/sa3027571/stats/pitching,273,Tulane University ,2026-02-16T17:25:50.682125
