Round,Pick,Name,Pos,School,School_Class,Signed,Bonus
9,272,Jackson Steensma,P,Appalachian State,4YR JR,Y,201300
9,273,Wallace Clark,SS,Duke,4YR SR,Y,25000
9,274,Cam Lee,OF,Mineral Area JC,JC J1,Y,197540
9,275,Andrew Healy,P,Duke,4YR JR,Y,147500
9,276,Kellan Oakes,P,Oregon State,4YR JR,Y,247500
9,277,Logan Braunschweig,OF,UAB,4YR SR,Y,2500
9,278,Shane Van Dam,P,NC State,4YR JR,Y,196100
9,279,Trevor Heishman,P,St. John Bosco HS,HS SR,Y,347500
9,280,Will Koger,P,Arizona State,4YR SR,Y,5000
9,281,Matthew Ferrara,SS,Toms River HS East,HS SR,Y,597500
9,282,Ryan Prager,P,Texas A&M,4YR SR,Y,197200
9,283,Anthony Frobose,SS,Lakeland HS,HS SR,Y,387500
9,284,Blake Gillespie,P,UNC Charlotte,4YR JR,Y,187300
9,285,Conner O'Neal,C,Southeastern Louisiana U,4YR SR,Y,2500
10,286,Daniel Wright,P,Iowa,4YR GR,Y,7500
10,287,Austin Newton,P,South Florida,4YR JR,Y,195100
10,288,Jake McCutcheon,2B,Missouri State,4YR JR,Y,192200
10,289,Nick Rodriguez,2B,Missouri State,4YR SR,Y,47500
10,290,Samuel Dutton,P,Auburn,4YR SR,Y,150000
10,291,Hunter Hines,1B,Mississippi State,4YR SR,Y,5000
10,292,Austin Smith,OF,University of San Diego,4YR SR,Y,5000
10,293,Matt King,SS,Arizona State,4YR SR,Y,22500
10,294,Ty Doucette,1B,Rutgers,4YR SO,Y,157500
10,295,J.D. McReynolds,P,University of Central Missouri,4YR SR,Y,25000
10,296,Isaiah Barkett,2B,Stetson,4YR JR,Y,172500
10,297,Trendan Parish,P,Texas Tech,4YR SR,Y,500
10,298,Maximus Martin,SS,Kansas State,4YR JR,Y,191300
10,299,Shai Robinson,SS,Illinois State,4YR JR,Y,147500
10,300,Tyler Van Dyke,P,Stetson,4YR SR,Y,150000
10,301,Justin Stransky,C,Fresno State,4YR SR,Y,140000
10,302,Isaac Lyon,P,Grand Canyon University,4YR JR,Y,190100
10,303,Brady Counsell,SS,Kansas,4YR SR,Y,50000
10,304,Dalton Neuschwander,P,University of West Florida,4YR 5S,Y,27500
10,305,Braylon Owens,P,UTSA,4YR SR,Y,10000
10,306,Zach Daudet,SS,Cal Poly San Luis Obispo,4YR SR,Y,7500
10,307,Kade Woods,P,LSU,4YR SR,Y,2500
10,308,Max Martin,P,University of California - Irvine,4YR JR,Y,185800
10,309,Edian Espinal,C,Central Florida,4YR JR,Y,185300
10,310,Justin DeCriscio,SS,NC State,4YR SR,Y,15000
10,311,Cole Gilley,P,Indiana,4YR GR,Y,7500
10,312,Harrison Bodendorf,P,Oklahoma State,4YR JR,Y,150000
10,313,Tyler McLoughlin,P,Georgia,4YR 5S,Y,7500
