teamid,Team,FullTeamName,conference_id,conference
187,UNCW,University of North Carolina Wilmington ,20,CAA
300,W&M,College of William and Mary ,20,CAA
302,MILW,University of Wisconsin Milwaukee ,16,Horizon League
189,NKU,Northern Kentucky University ,16,Horizon League
192,OAK,Oakland University ,16,Horizon League
108,PFW,Indiana University-Purdue University Fort Wayne ,16,Horizon League
304,WRST,Wright State University ,16,Horizon League
307,YSU,Youngstown State University ,16,Horizon League
30,BRWN,Brown University ,32,Ivy League
52,COLU,Columbia University,32,Ivy League
55,COR,Cornell University ,32,Ivy League
58,DART,Dartmouth College ,32,Ivy League
93,HARV,Harvard University ,32,Ivy League
202,PENN,University of Pennsylvania ,32,Ivy League
209,PRIN,Princeton University ,32,Ivy League
306,YALE,Yale University ,32,Ivy League
42,CAN,Canisius College ,33,MAAC
72,FAIR,Fairfield University ,33,MAAC
106,IONA,Iona College ,33,MAAC
135,MAN,Manhattan College ,33,MAAC
147,MRMK,Merrimack College ,33,MAAC
139,MRST,Marist College ,33,MAAC
161,MSM,Mount St. Mary's University ,33,MAAC
172,NIA,Niagara University ,33,MAAC
212,QUIN,Quinnipiac University ,33,MAAC
217,RID,Rider University ,33,MAAC
219,SHU,Sacred Heart University ,33,MAAC
229,SIE,Siena College ,33,MAAC
248,SPU,St. Peter's College ,33,MAAC
3,AKR,University of Akron ,3,MAC
20,BALL,Ball State University ,3,MAC
27,BGSU,Bowling Green State University ,3,MAC
44,CMU,Central Michigan University ,3,MAC
66,EMU,Eastern Michigan University ,3,MAC
116,KENT,Kent State University ,3,MAC
149,M-OH,Miami University (Ohio) ,3,MAC
183,NIU,Northern Illinois University ,3,MAC
193,OHIO,Ohio University ,3,MAC
270,TOL,University of Toledo ,3,MAC
295,WMU,Western Michigan University ,3,MAC
22,BEL,Belmont University ,17,MVC
28,BRAD,Bradley University ,17,MVC
71,EVAN,University of Evansville ,17,MVC
101,ILST,Illinois State University ,17,MVC
105,INST,Indiana State University ,17,MVC
158,MOST,Missouri State University ,17,MVC
162,MUR,Murray State University ,17,MVC
235,SIU,Southern Illinois University at Carbondale ,17,MVC
102,UIC,University of Illinois at Chicago ,17,MVC
282,VAL,Valparaiso University ,17,MVC
2,AFA,U.S. Air Force Academy ,22,MWC
81,FRES,California State University Fresno ,22,MWC
166,NEV,University of Nevada ,22,MWC
222,SDSU,San Diego State University ,22,MWC
224,SJSU,San Jose State University ,22,MWC
167,UNLV,University of Nevada Las Vegas ,22,MWC
168,UNM,University of New Mexico ,22,MWC
45,CCSU,Central Connecticut State University ,27,NEC
54,COPP,Coppin State University ,27,NEC
62,DSU,Delaware State University ,27,NEC
73,FDU,Fairleigh Dickinson University Metropolitan ,27,NEC
120,LEM,Le Moyne College ,27,NEC
127,LIU,Long Island University Brooklyn Campus ,27,NEC
311,MERC,Mercyhurst College ,27,NEC
174,NORF,Norfolk State University ,27,NEC
254,STO,Stonehill College ,27,NEC
138,UMES,University of Maryland Eastern Shore ,27,NEC
289,WAG,Wagner College ,27,NEC
69,EIU,Eastern Illinois University ,13,OVC
123,LIN,Lindenwood University,13,OVC
15,LR,University of Arkansas Little Rock ,13,OVC
160,MORE,Morehead State University ,13,OVC
234,SEMO,Southeast Missouri State University ,13,OVC
241,SIUE,Southern Illinois University Edwardsville ,13,OVC
257,TNTC,Tennessee Technological University ,13,OVC
240,USI,University of Southern Indiana ,13,OVC
258,UTM,University of Tennessee at Martin ,13,OVC
293,WIU,Western Illinois University ,13,OVC
199,ORST,Oregon State University ,9,Pac-12
292,WSU,Washington State University ,9,Pac-12
17,ARMY,U.S. Military Academy ,5,Patriot League
32,BUCK,Bucknell University ,5,Patriot League
97,HC,College of the Holy Cross ,5,Patriot League
118,LAF,Lafayette College ,5,Patriot League
121,LEH,Lehigh University ,5,Patriot League
163,NAVY,U.S. Naval Academy ,5,Patriot League
4,ALA,University of Alabama Tuscaloosa ,34,SEC
13,ARK,University of Arkansas Fayetteville ,34,SEC
18,AUB,Auburn University ,34,SEC
74,FLA,University of Florida ,34,SEC
130,LSU,Louisiana State University ,34,SEC
154,MISS,University of Mississippi ,34,SEC
157,MIZ,University of Missouri Columbia ,34,SEC
155,MSST,Mississippi State University ,34,SEC
195,OU,University of Oklahoma ,34,SEC
231,SC,University of South Carolina Columbia ,34,SEC
263,TA&M,Texas A&M University College Station ,34,SEC
256,TENN,University of Tennessee Knoxville ,34,SEC
265,TEX,University of Texas at Austin ,34,SEC
86,UGA,University of Georgia ,34,SEC
117,UK,University of Kentucky ,34,SEC
283,VAN,Vanderbilt University ,34,SEC
7,AAMU,Alabama A&M University ,15,SWAC
9,ALCN,Alcorn State University ,15,SWAC
6,ALST,Alabama State University ,15,SWAC
24,BCU,Bethune Cookman University ,15,SWAC
77,FAMU,Florida A&M University ,15,SWAC
91,GRAM,Grambling State University ,15,SWAC
111,JKST,Jackson State University ,15,SWAC
156,MVSU,Mississippi Valley State University ,15,SWAC
207,PV,Prairie View A&M University ,15,SWAC
239,SOU,Southern University Baton Rouge ,15,SWAC
267,TXSO,Texas Southern University ,15,SWAC
16,UAPB,University of Arkansas Pine Bluff ,15,SWAC
269,CIT,The Citadel ,14,SoCon
67,ETSU,East Tennessee State University ,14,SoCon
145,MER,Mercer University ,14,SoCon
221,SAM,Samford University ,14,SoCon
178,UNCG,University of North Carolina at Greensboro ,14,SoCon
287,VMI,Virginia Military Institute ,14,SoCon
297,WCU,Western Carolina University ,14,SoCon
303,WOF,Wofford College ,14,SoCon
266,AMCC,Texas A&M University Corpus Christi ,23,Southland
99,HCU,Houston Christian University,23,Southland
119,LAM,Lamar University ,23,Southland
143,MCN,McNeese State University ,23,Southland
173,NICH,Nicholls State University ,23,Southland
185,NWST,Northwestern State University ,23,Southland
268,RGV,University of Texas Rio Grande Valley,23,Southland
238,SELA,Southeastern Louisiana University ,23,Southland
252,SFA,Stephen F. Austin State University ,23,Southland
103,UIW,University of the Incarnate Word ,23,Southland
170,UNO,University of New Orleans ,23,Southland
179,NDSU,North Dakota State University ,4,Summit League
165,OMA,University of Nebraska at Omaha ,4,Summit League
198,ORU,Oral Roberts University ,4,Summit League
232,SDST,South Dakota State University ,4,Summit League
249,STMN,University of St. Thomas (Minnesota) ,4,Summit League
182,UNCO,University of Northern Colorado ,4,Summit League
10,APP,Appalachian State University ,6,Sun Belt
14,ARST,Arkansas State University ,6,Sun Belt
50,CCU,Coastal Carolina University ,6,Sun Belt
87,GASO,Georgia Southern University ,6,Sun Belt
89,GAST,Georgia State University ,6,Sun Belt
112,JMU,James Madison University ,6,Sun Belt
140,MRSH,Marshall University ,6,Sun Belt
197,ODU,Old Dominion University ,6,Sun Belt
272,TROY,Troy University ,6,Sun Belt
264,TXST,Texas State University San Marcos ,6,Sun Belt
131,UL,University of Louisiana at Lafayette ,6,Sun Belt
128,ULM,University of Louisiana at Monroe ,6,Sun Belt
230,USA,University of South Alabama ,6,Sun Belt
236,USM,University of Southern Mississippi ,6,Sun Belt
1,ACU,Abilene Christian University ,28,WAC
39,CBU,California Babtist University,28,WAC
92,GCU,Grand Canyon University ,28,WAC
38,SAC,California State University Sacramento ,28,WAC
227,SEA,Seattle University,28,WAC
255,TAR,Tarleton State University ,28,WAC
261,UTA,University of Texas at Arlington ,28,WAC
63,UTU,Dixie State College of Utah ,28,WAC
281,UVU,Utah Valley State College ,28,WAC
90,GONZ,Gonzaga University ,18,WCC
133,LMU,Loyola Marymount University ,18,WCC
201,PAC,University of the Pacific ,18,WCC
204,PEPP,Pepperdine University ,18,WCC
206,PORT,University of Portland ,18,WCC
226,SCU,Santa Clara University ,18,WCC
223,SF,University of San Francisco ,18,WCC
246,SMC,St. Mary's College of California ,18,WCC
225,USD,University of San Diego ,18,WCC
