Rank,Name,Conference,G,W-L,AB,H,BA
213,Southeast Mo. St.,Ohio Valley,55,30-25,1873,502,0.268
214,Seton Hall,Big East,54,24-30,1776,476,0.268
215,Virginia Tech,ACC,56,31-25,1832,491,0.268
216,Akron,Mid-American,54,20-34,1791,480,0.268
217,Pittsburgh,ACC,55,28-27,1840,493,0.268
218,Norfolk St.,Northeast,42,Apr-38,1416,379,0.268
219,Saint Louis,Atlantic 10,59,33-26,1940,519,0.268
220,Campbell,Coastal Athletic,56,25-31,1884,504,0.268
221,Georgia St.,Sun Belt,56,26-30,1845,493,0.267
222,NIU,Mid-American,54,21-33,1874,500,0.267
223,South Carolina,SEC,57,28-29,1841,491,0.267
224,UMass Lowell,America East,53,18-35,1756,468,0.267
225,San Francisco,West Coast,56,26-30,1841,490,0.266
226,Purdue Fort Wayne,Horizon League,53,Nov-42,1791,476,0.266
227,Portland,West Coast,52,22-30,1776,472,0.266
228,Jacksonville,Atlantic Sun,56,30-26,1825,485,0.266
229,Missouri,SEC,55,16-39,1755,465,0.265
230,Bradley,Missouri Valley,51,16-35,1740,461,0.265
231,Villanova,Big East,50,22-28,1632,432,0.265
232,Oakland,Horizon League,60,19-41,2041,540,0.265
233,Ohio St.,Big Ten,50,13-37,1637,433,0.265
234,Niagara,Metro Atlantic,47,19-28,1551,410,0.264
235,Notre Dame,ACC,53,32-21,1733,458,0.264
236,Milwaukee,Horizon League,59,24-35,2002,529,0.264
237,Northwestern,Big Ten,52,25-27,1688,446,0.264
238,Harvard,Ivy League,42,14-28,1379,364,0.264
239,Vanderbilt,SEC,61,43-18,1955,516,0.264
240,Minnesota,Big Ten,52,24-28,1728,455,0.263
241,Georgetown,Big East,56,16-40,1831,482,0.263
242,Michigan St.,Big Ten,55,28-27,1779,468,0.263
243,The Citadel,Southern Conference,57,31-26,1786,469,0.263
244,UMBC,America East,46,18-28,1444,379,0.262
245,Arkansas St.,Sun Belt,54,26-28,1778,466,0.262
246,Boston College,ACC,57,28-29,1837,481,0.262
247,UMES,Northeast,48,Jul-41,1567,410,0.262
248,Louisiana,Sun Belt,58,27-31,1890,494,0.261
249,Saint Joseph's,Atlantic 10,52,24-28,1703,445,0.261
250,Toledo,Mid-American,61,32-29,1987,519,0.261
251,Xavier,Big East,59,32-27,1996,521,0.261
252,Wichita St.,American Athletic,56,20-36,1867,487,0.261
253,Louisiana Tech,Conference USA,57,32-25,1902,496,0.261
254,Texas A&M,SEC,56,30-26,1807,470,0.26
255,UC Davis,Big West,55,27-28,1844,478,0.259
256,Santa Clara,West Coast,50,20-30,1636,424,0.259
257,VCU,Atlantic 10,54,17-37,1760,456,0.259
258,Washington,Big Ten,57,29-28,1873,485,0.259
259,Delaware St.,Northeast,41,Jul-34,1287,333,0.259
260,Seattle U,WAC,52,20-32,1747,452,0.259
261,A&M-Corpus Christi,Southland,52,21-31,1755,454,0.259
262,Lehigh,Patriot League,50,24-26,1551,401,0.259
263,Manhattan,Metro Atlantic,48,20-28,1567,405,0.258
264,FDU,Northeast,53,16-37,1653,427,0.258
265,UAB,American Athletic,54,24-30,1779,458,0.257
266,Oklahoma St.,Big 12,55,30-25,1810,465,0.257
267,North Dakota St.,Summit League,55,21-34,1811,465,0.257
268,Longwood,Big South,52,14-38,1664,427,0.257
269,Navy,Patriot League,51,26-25,1552,398,0.256
270,Old Dominion,Sun Belt,53,22-31,1794,459,0.256
271,Nicholls,Southland,49,17-32,1613,412,0.255
272,Houston,Big 12,55,30-25,1802,460,0.255
273,N.C. A&T,Coastal Athletic,52,15-37,1725,439,0.254
274,ULM,Sun Belt,55,22-33,1754,445,0.254
275,Massachusetts,Mid-American,49,14-34-1,1607,407,0.253
276,UNC Greensboro,Southern Conference,54,21-33,1789,452,0.253
277,UAlbany,America East,54,22-32,1770,447,0.253
278,Rice,American Athletic,57,17-40,1875,473,0.252
279,Bellarmine,Atlantic Sun,55,17-38,1807,455,0.252
280,Coppin St.,Northeast,49,15-34,1530,384,0.251
281,CSU Bakersfield,Big West,56,18-38,1831,458,0.25
282,Sam Houston,Conference USA,55,Dec-43,1771,442,0.25
283,Canisius,Metro Atlantic,45,14-31,1499,373,0.249
284,Liberty,Conference USA,57,30-27,1894,470,0.248
285,Dartmouth,Ivy League,36,25-Nov,1189,294,0.247
286,UC Riverside,Big West,52,16-36,1756,433,0.247
287,Texas St.,Sun Belt,58,27-31,1869,459,0.246
288,North Ala.,Atlantic Sun,55,24-31,1817,446,0.245
289,Merrimack,Metro Atlantic,51,17-33-1,1673,410,0.245
290,Memphis,American Athletic,55,22-33,1782,435,0.244
291,Pacific,West Coast,56,20-36,1792,437,0.244
292,Valparaiso,Missouri Valley,50,Oct-40,1592,384,0.241
293,Long Beach St.,Big West,53,22-31,1715,412,0.24
294,Bucknell,Patriot League,45,18-27,1394,334,0.24
295,Brown,Ivy League,39,28-Nov,1288,308,0.239
296,Pepperdine,West Coast,54,Dec-42,1777,412,0.232
297,James Madison,Sun Belt,55,17-38,1742,401,0.23
298,Eastern Ky.,Atlantic Sun,55,Nov-44,1720,394,0.229
299,Princeton,Ivy League,43,31-Dec,1400,292,0.209
