Season,Player,Team,Class,W,L,ERA_x,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA,OBP,SLG,OPS,BABIP,BB%,K%,K-BB%,K:BB,WHIP,ERA_y,FIP,xFIP,SIERA,LOB%,GB%,LD%,FB%,PU%,HR/FB%
2023,Jacob McNairy,Alabama,GR,7,3,4.35,17,17,0,0,0,80.2,85,46,39,22,86,9,0.269,0.331,0.405,0.736,0.336,6.3%,24.5%,18.2%,3.89,1.33,4.35,4.78,4.35,3.14,74.5%,49.1%,22.6%,28.3%,7.8%,15.4%
2023,Jacob Pennington,Murray State,JR,5,4,5.0,15,15,2,0,0,84.2,79,52,47,29,68,11,0.242,0.322,0.387,0.708,0.28,7.8%,18.3%,10.5%,2.35,1.28,5.0,5.2,6.02,4.35,64.9%,37.6%,16.3%,46.1%,10.5%,6.7%
2023,Jacob Riordan,Arkansas-Pine Bluff,SR,3,5,8.19,15,12,0,0,0,67.0,65,81,61,63,86,19,0.262,0.432,0.399,0.832,0.359,18.1%,24.7%,6.6%,1.36,1.91,8.19,6.27,6.75,4.5,60.0%,41.7%,17.8%,40.5%,6.7%,7.6%
2023,Jacob Rutherford,Gonzaga,JR,4,2,5.33,15,11,2,1,0,76.0,81,46,45,29,72,7,0.281,0.355,0.438,0.792,0.338,8.7%,21.6%,12.9%,2.48,1.45,5.33,5.23,5.06,3.81,66.1%,43.9%,23.8%,32.3%,5.4%,12.5%
2023,Jacob Shafer,UNC Wilmington,JR,7,5,4.62,16,16,1,0,0,87.2,81,51,45,31,55,13,0.246,0.331,0.371,0.702,0.269,8.1%,14.3%,6.2%,1.77,1.28,4.62,5.59,5.8,4.65,76.4%,51.1%,17.9%,31.0%,6.6%,9.4%
2023,Jacob Tate,Ohio,JR,4,1,4.08,15,3,0,0,2,53.0,50,28,24,24,41,5,0.248,0.339,0.366,0.705,0.285,10.3%,17.5%,7.3%,1.7,1.4,4.08,5.5,5.85,4.52,75.0%,51.0%,11.6%,37.4%,5.2%,8.6%
2023,Jacob Weaver,Austin Peay,SO,4,3,6.2,18,10,0,0,0,61.0,74,55,42,33,52,12,0.291,0.393,0.469,0.861,0.327,10.9%,17.2%,6.3%,1.58,1.75,6.2,6.86,5.96,4.38,65.7%,57.9%,14.9%,27.2%,3.6%,18.9%
2023,Jaden Hamm,Middle Tennessee,JR,5,4,5.31,17,14,1,1,1,79.2,83,54,47,37,93,7,0.268,0.357,0.423,0.779,0.352,10.4%,26.1%,15.7%,2.51,1.51,5.31,4.96,5.07,3.43,68.2%,41.3%,17.8%,40.8%,10.3%,10.3%
2023,Jaden Henline,Penn State,JR,5,3,4.7,15,9,0,0,1,61.1,78,39,32,17,35,5,0.315,0.365,0.399,0.764,0.35,6.1%,12.6%,6.5%,2.07,1.55,4.7,4.73,5.36,4.22,59.5%,58.2%,16.9%,24.9%,1.9%,5.7%
2023,Jake Armstrong,Western Illinois,SR,4,6,5.4,15,14,0,0,0,81.2,95,58,49,40,45,7,0.29,0.371,0.47,0.84,0.297,10.3%,11.6%,1.3%,1.13,1.65,5.4,6.77,7.33,5.98,72.7%,32.9%,17.5%,49.6%,11.4%,8.6%
