W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,AVG,WHIP,BABIP,LOB%,FIP,E-F,K-BB%,Age,MaxAge,Season,PlayerName,Team,UPID,xMLBAMID,UPURL,teamid,FullTeamName
4.0,1.0,1.6578947368421053,26.0,0.0,0.0,0.0,4.0,38.0,167.0,28.0,9.0,7.0,1.0,22.0,6.0,3.0,0.0,33.0,7.815789473684211,5.2105263157894735,1.5,0.23684210526315788,0.19760479,0.13173653,0.20143885,1.3157894736842106,0.25714286,0.86080586,4.719906294973272,-3.062011558131167,0.06586826,23.0,23.0,2024,Bradley Mullan,ORE,sa3038533,,/players/bradley-mullan/sa3038533/stats/pitching,200,University of Oregon
3.0,0.0,1.6875,10.0,7.0,0.0,0.0,0.0,32.0,123.0,25.0,7.0,6.0,5.0,5.0,2.0,0.0,0.0,25.0,7.03125,1.40625,5.0,1.40625,0.20325203,0.04065041,0.21551724,0.9375,0.23255814,1.0,5.095693778991699,-3.4081937789916994,0.16260163,,,2024,Dawson Hall,WKU,sa3033020,,/players/dawson-hall/sa3033020/stats/pitching,294,Western Kentucky University 
6.0,1.0,1.7841410291273825,32.0,0.0,0.0,0.0,10.0,75.2,296.0,55.0,17.0,15.0,7.0,12.0,1.0,4.0,0.0,87.0,10.348017968938818,1.427312823301906,7.25,0.8325991469261118,0.29391892,0.04054054,0.19434629,0.8854625848261823,0.25396825,0.87628866,3.0903978778318897,-1.3062568487045072,0.25337838,23.0,23.0,2024,Evan Aschenbeck,TA&M,sa3026253,809767.0,/players/evan-aschenbeck/sa3026253/stats/pitching,263,Texas A&M University College Station 
6.0,1.0,1.788079515370742,21.0,1.0,0.0,0.0,6.0,50.1,201.0,39.0,13.0,10.0,2.0,13.0,1.0,5.0,1.0,67.0,11.980132752983971,2.3245033699819646,5.15384615,0.3576159030741484,0.33333333,0.06467662,0.20855615,1.033112608880873,0.31355932,0.79681275,2.360637383460789,-0.5725578680900469,0.26865672,21.0,21.0,2024,Griffin Herring,LSU,sa3033707,702622.0,/players/griffin-herring/sa3033707/stats/pitching,130,Louisiana State University 
1.0,1.0,1.8,2.0,2.0,0.0,0.0,0.0,10.0,42.0,8.0,4.0,2.0,1.0,3.0,2.0,2.0,0.0,6.0,5.4,2.7,2.0,0.9,0.14285714,0.07142857,0.21621622,1.1,0.23333333,0.77586207,6.459930229187012,-4.659930229187013,0.07142857,,,2024,Andy Leon,COLU,sa3036217,,/players/andy-leon/sa3036217/stats/batting,52,Columbia University
0.0,0.0,1.8,8.0,0.0,0.0,0.0,0.0,10.0,44.0,9.0,6.0,2.0,0.0,4.0,0.0,3.0,0.0,5.0,4.5,3.6,1.25,0.0,0.11363636,0.09090909,0.225,1.3,0.25714286,0.53846154,4.2503656387329105,-2.4503656387329107,0.02272727,20.0,20.0,2024,Ethan Oceguera,LAM,sa3039014,,/players/ethan-oceguera/sa3039014/stats/pitching,119,Lamar University 
3.0,1.0,1.8202247581101483,24.0,0.0,0.0,0.0,3.0,29.2,127.0,14.0,6.0,6.0,1.0,18.0,7.0,2.0,0.0,34.0,10.314606962624174,5.4606742743304455,1.88888889,0.30337079301835806,0.26771654,0.14173228,0.1372549,1.0786517085097176,0.19402985,0.87765957,5.144700893105439,-3.3244761349952903,0.12598425,21.0,21.0,2024,Zane Coppersmith,STET,sa3029362,,/players/zane-coppersmith/sa3029362/stats/pitching,251,Stetson University 
3.0,0.0,1.8270677215767688,26.0,1.0,0.0,0.0,8.0,44.1,181.0,29.0,10.0,9.0,1.0,16.0,7.0,3.0,0.0,54.0,10.962406329460613,3.2481203939142556,3.375,0.20300752461964097,0.29834254,0.08839779,0.1835443,1.0150376230982048,0.27184466,0.83003953,3.270764194962747,-1.4436964733859783,0.20994475,20.0,20.0,2024,Ben Abeldt,TCU,sa3025700,702727.0,/players/benjamin-abeldt/sa3025700/stats/pitching,259,Texas Christian University 
3.0,3.0,1.8270677215767688,26.0,0.0,0.0,0.0,8.0,44.1,185.0,22.0,10.0,9.0,3.0,26.0,4.0,7.0,0.0,66.0,13.398496624896303,5.278195640110665,2.53846154,0.6090225738589229,0.35675676,0.14054054,0.14193548,1.0827067979714184,0.22093023,0.87866109,3.806118895805497,-1.9790511742287282,0.21621622,23.0,23.0,2024,Danny Trehey,FAU,sa3044028,,/players/danny-trehey/sa3044028/stats/pitching,75,Florida Atlantic University 
0.0,1.0,1.8409090510084618,16.0,0.0,0.0,0.0,1.0,14.2,65.0,8.0,4.0,3.0,1.0,9.0,1.0,1.0,0.0,26.0,15.954545108740001,5.522727153025385,2.88888889,0.6136363503361539,0.4,0.13846154,0.14545455,1.1590908839682907,0.25,0.84337349,3.0582593443965123,-1.2173502933880505,0.26153846,21.0,21.0,2024,Jake Faherty,ARK,sa3025331,801619.0,/players/jake-faherty/sa3025331/stats/pitching,13,University of Arkansas Fayetteville 
