Player,UPID,Team,Season,Age,Age_Bin,Has_Prior_Data,Prior_PA,Obs_2026_PA,Changed_Team,K%_mean,K%_std,K%_p25,K%_p75,BB%_mean,BB%_std,BB%_p25,BB%_p75,ISO_mean,ISO_std,ISO_p25,ISO_p75,BABIP_mean,BABIP_std,BABIP_p25,BABIP_p75,K%_p10,K%_p90,K%_p5,K%_p95,BB%_p10,BB%_p90,BB%_p5,BB%_p95,ISO_p10,ISO_p90,ISO_p5,ISO_p95,BABIP_p10,BABIP_p90,BABIP_p5,BABIP_p95
Davis Johnson,sa3034732,ND,2026,21.0,21,True,176.0,7.0,False,0.2365762008793543,0.0336607831021758,0.2132188202045207,0.2587278142375536,0.1442330358384456,0.0315245817245651,0.1219466101776072,0.1644309477549869,0.2120706839352251,0.0107073457866234,0.2048486889503424,0.2192926789201079,0.3422394178267295,0.0093343861824319,0.3359434700223072,0.3485353656311519,0.1941274912314525,0.2804619712587811,0.1831447153751967,0.293800288865009,0.1051739122557725,0.1857925998727728,0.0958468634827314,0.1992022210287394,0.1983486681795504,0.2257926996908998,0.1944586673830739,0.2296827004873763,0.330276920601236,0.3542019150522231,0.3268857188591906,0.3575931167942685
Cooper Blauser,sa3027252,JVST,2026,23.0,23+,True,299.0,21.0,False,0.20084349707936,0.0243771266749218,0.1839841293215608,0.2168962241614652,0.1389825834052357,0.0238542914925534,0.1222806723422979,0.1544345857922437,0.1927054854107814,0.0082149054242741,0.1871646159032783,0.1982463549182845,0.3515521422163996,0.0071615413577216,0.346721755975011,0.3563825284577881,0.1700808997956142,0.2325631931866359,0.1620415531476116,0.2421773973656985,0.1092012267787088,0.1702508090438221,0.1017935628239034,0.1800996163503452,0.182177660503502,0.2032333103180608,0.1791931684286007,0.2062178023929621,0.342374257677699,0.3607300267551001,0.3397724549395882,0.3633318294932109
Harry Carr,sa3058818,DEL,2026,,21,True,199.0,21.0,True,0.246301085582737,0.0321051905199204,0.2240866677581264,0.2674881070978168,0.1152137229441015,0.0269551938074361,0.0960910002360876,0.1323396282350171,0.1179049444851568,0.0100695861965551,0.1111131118068644,0.1246967771634492,0.3270809225638604,0.0087784039227869,0.3211599790948595,0.3330018660328613,0.2057381590535813,0.2880868339763855,0.1951352920885623,0.3006964116117512,0.0819953307940174,0.1508202806614142,0.0742189818457351,0.1624993978497439,0.1050002505305752,0.1308096384397384,0.1013419491078525,0.134467939862461,0.3158309452736299,0.338330899854091,0.3126417330326193,0.3415201120951016
Jake Haarde,sa3070244,FAIR,2026,,21,True,20.0,20.0,False,0.1875040774523561,0.0895445488631796,0.1205812431531591,0.2421864119795739,0.1099115354963041,0.0807593090036266,0.0485104967858091,0.1524607181864383,0.1584733605304102,0.0265749333653545,0.1405488403633347,0.1763978806974857,0.3217950411365551,0.0166141585641884,0.3105889614768775,0.3330011207962327,0.0812286779771035,0.309773675885362,0.0623325416419902,0.3528688276662844,0.0240050352140546,0.2215954735268692,0.0146754939109991,0.2683622192292107,0.1244162130717966,0.1925305079890238,0.1147614849984131,0.2021852360624073,0.3005031402184131,0.3430869420546971,0.2944671821635028,0.3491229001096074
Trey Spees,sa3060646,WCU,2026,20.0,<=20,True,243.0,21.0,False,0.1963560693542966,0.0268002577605342,0.1777589026010954,0.2139462315466299,0.1181013875521305,0.0246724242875397,0.1006861933039634,0.1338918179458648,0.1303684041420246,0.009112447207319,0.124222151901485,0.1365146563825642,0.3220985624808089,0.0079439949914014,0.3167404192834996,0.3274567056781182,0.1626102985981959,0.2312985771035257,0.153896869483866,0.241978478001111,0.0875442519447875,0.1505963847121915,0.0802168809697712,0.1610981537046056,0.1186903331575423,0.1420464751265068,0.115379762302662,0.1453570459813871,0.3119179232628999,0.3322792016987179,0.309031853506718,0.3351652714548998
Dayton Murphy,sa3065099,MSU,2026,20.0,<=20,True,113.0,8.0,False,0.1706009710087943,0.0371182325932112,0.1443772185073346,0.1944826086705449,0.1106236370335758,0.0350469718626597,0.0853667200735412,0.1323387680648851,0.1368827694625372,0.0133628452893957,0.1278696672813838,0.1458958716436907,0.3198735589152459,0.0116493817340932,0.3120161703394785,0.3277309474910133,0.1244958402176637,0.2195177174458112,0.1134199501598864,0.2351735943931582,0.0681870049370376,0.1573454026239569,0.0590670474304456,0.1733986070538307,0.1197575941617817,0.1540079447632927,0.1149028449218831,0.1588626940031913,0.3049442755162919,0.3348028423141998,0.3007120311181803,0.3390350867123115
Will Edmunson,sa3030796,ORU,2026,,21,True,321.0,32.0,False,0.1460569654424479,0.0207420405600808,0.1316271643607144,0.1595981747219101,0.0912969246387537,0.0191722592793912,0.077755598209258,0.1035218136947137,0.1678242286715685,0.0079284016978358,0.162476602990941,0.1731718543521959,0.3450885853930475,0.0069117748442853,0.3404266641049139,0.3497505066811811,0.1200261433818209,0.1731420439562203,0.1133818899573293,0.1815211354205694,0.0676045449135884,0.1165559430234006,0.0619545829694264,0.1247771229873131,0.1576635730634405,0.1779848842796964,0.154783168382955,0.1808652889601819,0.3362307895206619,0.3539463812654332,0.3337197274717528,0.3564574433143422
Sal Mineo,sa3066079,DEL,2026,20.0,<=20,True,104.0,31.0,True,0.2508124903708129,0.0445681160320578,0.2196625964311161,0.2800350093542909,0.0989422392825585,0.0347567373844058,0.0737505571023973,0.1201791057953247,0.1149884066997822,0.0139290498418982,0.1055934053514514,0.1243834080481129,0.309703401414738,0.0121429841689667,0.3015130830559767,0.3178937197734994,0.1947698063435871,0.3091698681361853,0.1806158173559121,0.327093036471443,0.0572583879166184,0.1454264278340274,0.0486603928821683,0.161769534284021,0.0971376110683487,0.1328392023312157,0.092077158547348,0.1378996548522164,0.2941415410426155,0.3252652617868606,0.2897299698623988,0.3296768329670773
Easton Dowell,sa3030524,MCN,2026,22.0,22,True,232.0,31.0,False,0.1306083590730509,0.0232643259894429,0.1142943967309531,0.1456406023767739,0.082088228614457,0.021474095768869,0.0667704978755628,0.095547731302885,0.1799454586395419,0.0093259733401142,0.173655185211033,0.1862357320680509,0.3388449087081006,0.0081301415325957,0.3333612115767213,0.3443286058394798,0.1016106902346606,0.1611309798481826,0.094447797993585,0.1707971973777534,0.0558561357730527,0.1105411032368896,0.0499163810421958,0.1201123837549073,0.1679937429052913,0.1918971743737925,0.1646055975662023,0.1952853197128816,0.3284257130989033,0.3492641043172978,0.3254720159205817,0.3522178014956194
Parker Wight,sa3060919,UNCG,2026,20.0,<=20,True,250.0,12.0,False,0.2263963460811816,0.0278381097862305,0.2071517796305727,0.2447586818358,0.1262248558301582,0.0250331758963813,0.1085955419805216,0.1423078972786626,0.2000072922569802,0.0089839672011424,0.1939476984637118,0.2060668860502486,0.3334040941268641,0.0078319894562974,0.3281214975149477,0.3386866907387806,0.1912313094991651,0.2626094079006157,0.1820189966017061,0.273544437959312,0.0951421559712268,0.159150823782601,0.0876060195879534,0.1697077857571262,0.1884938750255547,0.2115207094884056,0.1852299812217679,0.2147846032921924,0.3233669957778173,0.343441192475911,0.3205216178634275,0.3462865703903008
