team,full_name,conference,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
VCU,VCU,Atlantic 10,2026,,18,5.442016067998809,0.3019354817932358,5.054234155246552,5.237663810340354,5.443522649794023,5.64476330249625,5.822271739208165,18,0,1.0
WIN,Winthrop,Big South,2026,,16,5.448345965052116,0.358104251659991,4.990651564303826,5.205743648495256,5.447588343196827,5.686223842620678,5.910673070225727,16,0,1.0
HOU,Houston,Big 12,2026,,13,5.454035022094459,0.3345573880227994,5.027883066946548,5.22492977017823,5.450318456496724,5.6830774863402365,5.890101040891191,13,0,1.0
LAM,Lamar University,Southland,2026,,18,5.4545498840944795,0.32435737934913733,5.031245936313574,5.237072964801619,5.454056848342146,5.677750091163782,5.868801898725885,18,0,1.0
PEPP,Pepperdine,West Coast,2026,,15,5.456921245108351,0.35802512347022514,5.001933572494035,5.211818669431319,5.450869038272272,5.698135488771985,5.915369014127176,15,0,1.0
LIU,LIU,Northeast,2026,,15,5.458767695657029,0.3492093840152893,5.008645390241476,5.2225725545977815,5.462194893078218,5.695669973550533,5.90503001442154,15,0,1.0
DUKE,Duke,ACC,2026,,17,5.4596336297773265,0.3350987333281841,5.03426135151936,5.234522539453453,5.459457838929255,5.683342826368691,5.89358319477897,17,0,1.0
BRY,Bryant,America East,2026,,14,5.460028131727691,0.39825519445628016,4.948798539525021,5.187437251196171,5.458123196714913,5.734037627797651,5.974688510782657,14,0,1.0
CSUB,CSU Bakersfield,Big West,2026,,17,5.46183137871724,0.3500779735944567,5.010892172579939,5.22549367403734,5.462739126336388,5.700317070261056,5.913776038011755,17,0,1.0
LR,Little Rock,Ohio Valley,2026,,19,5.4644207649642285,0.2911452489749432,5.090939616063138,5.268149314505067,5.465827314040131,5.6574646922857825,5.841160164366142,19,0,1.0
ME,Maine,America East,2026,,13,5.464942016699726,0.33787034847780933,5.028749369388472,5.235289868912041,5.464155319052773,5.692516195351111,5.8995771075288586,13,0,1.0
GW,George Washington,Atlantic 10,2026,,13,5.465897433009895,0.39490983025377135,4.9558564486626375,5.194474889121036,5.465543957581968,5.731217158466212,5.9794032267468396,13,0,1.0
LEH,Lehigh,Patriot League,2026,,16,5.466457982173412,0.32432147207676687,5.046604436069039,5.247742394268954,5.463970140886657,5.683140332623267,5.883180723469674,16,0,1.0
LAS,LAS,Unknown,2026,,16,5.4678476797790365,0.42239676104575535,4.93151597442128,5.1752482663385,5.464290741223444,5.7466067971887185,6.014800011089733,16,0,1.0
