rank,team,season,week,n_pitchers,fip_mean,fip_std,fip_p10,fip_p25,fip_p50,fip_p75,fip_p90,n_returning_pitchers,n_unknown_pitchers,ip_coverage
24,LIB,2026,,8,5.40513733370922,0.3859429871856174,4.920568798036598,5.147776997625439,5.405774355583894,5.663774625601288,5.897118186238061,8,0,1.0
25,OU,2026,,15,5.406697033285092,0.34372560027179666,4.968984633485998,5.17430754365234,5.4045707793983535,5.638978775890819,5.851209299367697,15,0,1.0
26,FSU,2026,,12,5.407020664182014,0.36520407773912555,4.94135655593509,5.158435994715564,5.406036529904232,5.654129481890486,5.875548546705788,12,0,1.0
27,MISS,2026,,15,5.4090337156198975,0.3477366512559906,4.967263918240342,5.172954489261988,5.405032514115039,5.64023347348939,5.861016736197352,15,0,1.0
28,RUTG,2026,,13,5.409661297693057,0.3534325947434258,4.957806977494961,5.167858051796588,5.410370064184935,5.647653353727921,5.865685910353692,13,0,1.0
29,MSST,2026,,17,5.41073223203275,0.3351709884853982,4.982932501306953,5.185153362534067,5.407794007219613,5.632715613153451,5.84000234757752,17,0,1.0
30,KENT,2026,,13,5.415827234548706,0.3657032058819363,4.953620728553875,5.171724285276435,5.410861708333197,5.660709460225785,5.883323628429825,13,0,1.0
31,VT,2026,,12,5.418726947021788,0.3577767226524904,4.959434110933508,5.177616130491838,5.4192729907849415,5.66332530195808,5.869066930265229,12,0,1.0
32,VAN,2026,,16,5.423210421495758,0.33329214330538653,4.993016249417523,5.1932634392521795,5.424075176157416,5.649740718646035,5.850881063145847,16,0,1.0
33,IU,2026,,15,5.430236754960883,0.31804644972081064,5.015266235312871,5.216429878067859,5.4329936793115925,5.645129754458169,5.832592449388816,15,0,1.0
34,GT,2026,,17,5.451256874042824,0.3336408598242896,5.024765575485026,5.22228374819327,5.449076040844185,5.678930725242232,5.882587069327337,17,0,1.0
35,CLT,2026,,16,5.45591702423775,0.32987321683117415,5.034121051406656,5.235625105302409,5.456349111649828,5.677223445589824,5.879996003141403,16,0,1.0
36,USC,2026,,11,5.457520160555641,0.38517652285546833,4.964651926366845,5.201144323014982,5.461143229116319,5.713640085276679,5.949433924559482,11,0,1.0
37,OKST,2026,,10,5.461613460572691,0.40129357508437,4.94543208642249,5.188350050412313,5.461658887403756,5.7315245319644115,5.981804024123276,10,0,1.0
38,CCU,2026,,10,5.464884987676587,0.40444265361278947,4.946262903081132,5.190554400648839,5.464999855340194,5.73510996864041,5.9780705300104495,10,0,1.0
39,MIA,2026,,13,5.479604845906693,0.4015317990968134,4.963724620106979,5.203325871219124,5.4762331994032465,5.755026323569758,5.999783984744309,13,0,1.0
40,UCLA,2026,,14,5.48513803795733,0.3325743823768341,5.059757121575411,5.26275625605471,5.479050245730541,5.708824229973362,5.915884761449902,14,0,1.0
41,LT,2026,,15,5.486544894878746,0.3248252741021391,5.071420902382737,5.266152064138456,5.4880801823124985,5.708919037247957,5.904073772027772,15,0,1.0
42,CONN,2026,,14,5.495153050870709,0.3527220150591592,5.043057230039492,5.258993281283847,5.494694648164702,5.732161953109898,5.951457842697202,14,0,1.0
43,FGCU,2026,,14,5.503669433661813,0.371041293250213,5.028464743635626,5.252577447632561,5.504685591854367,5.751569109489284,5.977111144656471,14,0,1.0
44,ARMY,2026,,9,5.510477091661561,0.45216174470908194,4.938639623605082,5.20481366439342,5.503429703512405,5.8128099944520875,6.088264702850811,9,0,1.0
45,MOST,2026,,13,5.514677623765562,0.37924882145857497,5.025951015919431,5.262671318473483,5.516327258362416,5.768520511397067,5.997719159701627,13,0,1.0
46,UTSA,2026,,13,5.515565073193546,0.3847539357447614,5.024875724032431,5.257658489031764,5.511617474206051,5.776129545438506,6.010421808032686,13,0,1.0
47,WOF,2026,,9,5.520674519843717,0.4213546609105233,4.981473829033151,5.23493197143965,5.524766205246741,5.803366771020499,6.056194980621941,9,0,1.0
48,CP,2026,,9,5.521648022672326,0.39540093706455137,5.009682139276037,5.253939721731588,5.517645732426601,5.788851356083961,6.027796157714432,9,0,1.0
49,VCU,2026,,12,5.52634453996216,0.3492230441019146,5.0833254366009015,5.289199660077982,5.531490832224587,5.754990605854658,5.968093963354689,12,0,1.0
50,ECU,2026,,15,5.530394287946747,0.3114169506103859,5.134802893308007,5.320715358664929,5.529283232774632,5.740277633784101,5.9352520458476485,15,0,1.0
51,GCU,2026,,12,5.538201574521088,0.3718566442062006,5.064318575309524,5.285670232929839,5.532711141171157,5.782857844234173,6.028856319428532,12,0,1.0
52,CLEM,2026,,13,5.539994565207546,0.3927781999195257,5.033581619734357,5.274894473118004,5.53900996480952,5.8025028405148795,6.044839441728686,13,0,1.0
53,ARST,2026,,13,5.542440417666426,0.37556752912384356,5.061246693865495,5.293629386582522,5.539868687612005,5.794976551560389,6.024695344056468,13,0,1.0
54,USD,2026,,11,5.543002178426171,0.35051013474733256,5.091194584884186,5.3014089924568655,5.540426436942495,5.785058008553094,5.9926805281196245,11,0,1.0
55,CREI,2026,,10,5.5498746013980575,0.4021205260331742,5.02915805487868,5.281430304557527,5.550728865598151,5.820722779256313,6.0652537457698354,10,0,1.0
56,GONZ,2026,,11,5.5561145807154,0.38721917910500603,5.05955977015405,5.297380961938278,5.556763370529694,5.8136980192510395,6.0546139312762906,11,0,1.0
57,WRST,2026,,13,5.562203673796952,0.362530917333478,5.100504593875805,5.316075245405935,5.5533451267351985,5.805253916921265,6.032874833314575,13,0,1.0
58,APSU,2026,,15,5.574570619793715,0.34704363770732805,5.125468812072203,5.333924783216687,5.571939167926034,5.809070455524719,6.021836737490674,15,0,1.0
59,NCSU,2026,,10,5.576031192360821,0.3760350911057041,5.096046932422609,5.325284448232497,5.573342774384615,5.823479316989391,6.062975124287841,10,0,1.0
60,HALL,2026,,7,5.584755487868657,0.5183581376588491,4.921780101547706,5.230400670713372,5.584000088757554,5.932068066569699,6.251162049163199,7,0,1.0
61,HOU,2026,,13,5.584907140248559,0.35237061500215394,5.130658035630293,5.3429720455381835,5.5879725539348915,5.820033078365103,6.0416530634799415,13,0,1.0
62,SJSU,2026,,14,5.588488110515852,0.31957214169299913,5.177966193645662,5.365053835606012,5.590965872438613,5.8067052897721965,5.999166654089939,14,0,1.0
63,BAY,2026,,14,5.592876751156807,0.3588693946983927,5.1383906658178375,5.356047179496808,5.586937995548837,5.83094188560592,6.062225812434396,14,0,1.0
64,UCD,2026,,14,5.596031691332269,0.36131833907761807,5.134132260593846,5.352748784421454,5.595165959712684,5.835281726928271,6.059866398361016,14,0,1.0
65,ILL,2026,,15,5.5960689713114204,0.3296303393056882,5.174891391139276,5.372474318746028,5.596281958641333,5.821092477627677,6.014105899536459,15,0,1.0
66,UNM,2026,,12,5.596396702337725,0.38684892278670335,5.103572026308681,5.33446536581596,5.596319828154563,5.859283463841437,6.096679238443909,12,0,1.0
67,ORU,2026,,11,5.596637890769498,0.3632972386324612,5.132549255662406,5.3480398466970005,5.599594847858503,5.840515281662531,6.062414279426629,11,0,1.0
68,WAKE,2026,,13,5.598663892048401,0.38296336802222636,5.104583375420542,5.345218786557968,5.598159225763904,5.859858930606351,6.089485181871961,13,0,1.0
69,MER,2026,,17,5.5988566098824055,0.3403079929218597,5.166842661130557,5.362212128554839,5.5964854869001766,5.828881880950071,6.037544471690761,17,0,1.0
70,CBU,2026,,13,5.60318665695653,0.3724673085892565,5.123149066794131,5.355750066571405,5.602050012247448,5.85674003517647,6.077905609406252,13,0,1.0
71,NWST,2026,,14,5.604114631043947,0.35335667751067534,5.151101019420202,5.367341705879674,5.603727143838655,5.845204441764061,6.049859290902945,14,0,1.0
72,UNCW,2026,,12,5.611245269976818,0.38502057786122595,5.1132690513031145,5.353791172046913,5.611848642702018,5.869835352699225,6.105406102328935,12,0,1.0
73,ODU,2026,,14,5.612000079790469,0.34839589067569166,5.167430641297698,5.375997042836664,5.609253394017838,5.846420255798758,6.066539462128278,14,0,1.0
74,WVU,2026,,12,5.615108774713146,0.378771368095911,5.132628526460493,5.359276747398681,5.611904326767739,5.869884334418379,6.100819919993333,12,0,1.0
75,MCN,2026,,17,5.6188537533252445,0.3509376326941377,5.1719038408459,5.379953153127931,5.615955539892202,5.8573320513087195,6.06999251540441,17,0,1.0
76,UVA,2026,,17,5.6202851096054935,0.34186387623819703,5.18073653686761,5.390797321727451,5.617920037385685,5.853012490907154,6.064119026879653,17,0,1.0
77,LSU,2026,,17,5.622515869280952,0.3468917113184919,5.172660342948962,5.386862355712855,5.624424928681414,5.858130339042894,6.064094031770518,17,0,1.0
78,BING,2026,,8,5.622524570333793,0.42270173271434236,5.078068445428454,5.331724303346138,5.61971740252993,5.907273095366944,6.162211486784865,8,0,1.0
79,TROY,2026,,15,5.6289923732917435,0.35423394575498895,5.1760014311418265,5.39068296193115,5.6270374127053255,5.867535093758922,6.088862718713895,15,0,1.0
80,TOL,2026,,10,5.629257736710254,0.44771983532125786,5.062679274950874,5.3283450339352445,5.626526476701498,5.9278504246620365,6.211305554621786,10,0,1.0
81,UL,2026,,12,5.631110104406441,0.3813609415576862,5.1404082775077224,5.375628990468262,5.631468517835517,5.890349476253943,6.117691013705465,12,0,1.0
82,TULN,2026,,13,5.631806198143277,0.37667187405662883,5.150901525640707,5.373938089883083,5.629438121877067,5.886437941244472,6.1208944789052095,13,0,1.0
83,CSUF,2026,,17,5.632157213590641,0.35733698974943806,5.172668150796856,5.389173139330258,5.629872922995602,5.87443838535078,6.086558132198467,17,0,1.0
84,BALL,2026,,14,5.633088937827022,0.34142031272261575,5.194666169039793,5.402924473732695,5.630580279977982,5.863614875652343,6.077280349374129,14,0,1.0
85,LIN,2026,,11,5.633443677327909,0.3694917151915358,5.161302023024309,5.386951452017166,5.636445537578252,5.881415255373528,6.104285818347687,11,0,1.0
86,IOWA,2026,,17,5.6353339607212325,0.35676150839012233,5.175447018506151,5.39914064506372,5.636377499713112,5.875874914788042,6.098036604581364,17,0,1.0
87,NEB,2026,,15,5.635691462596116,0.3699760469214521,5.160963599303125,5.385865934282051,5.6385134680558275,5.881808310138773,6.105553697566571,15,0,1.0
88,ME,2026,,11,5.641014830674963,0.41088695463199126,5.114310350166887,5.359640843357854,5.636355512129404,5.917513795325741,6.17239011426871,11,0,1.0
89,ORE,2026,,15,5.642583852029835,0.34637243238773174,5.194666302519172,5.407398252641348,5.646059761527862,5.876880708507853,6.086380434321276,15,0,1.0
90,MUR,2026,,17,5.645626661834517,0.36101948397390715,5.181487707604615,5.403695936109388,5.640693067406264,5.886291471135831,6.115105662275785,17,0,1.0
91,MRST,2026,,12,5.646697074901739,0.37184272068697927,5.167747740002097,5.391607456471009,5.6462429440037685,5.897434445009132,6.127247789028876,12,0,1.0
92,CAL,2026,,16,5.646915678967416,0.3732081759947224,5.161135449465401,5.3920097358869485,5.649104362823247,5.900387072420093,6.124959616632311,16,0,1.0
