Season,Name,Conference,W,L,T,PCT
2025,Austin Peay,Atlantic Sun,45.0,14.0,0.0,0.7627118644067796
2017,BYU,Big 12,38.0,21.0,0.0,0.644
2018,BYU,Big 12,22.0,28.0,0.0,0.44
2019,BYU,Big 12,36.0,17.0,0.0,0.679
2021,BYU,Big 12,23.0,27.0,0.0,0.46
2022,BYU,Big 12,33.0,21.0,0.0,0.611
2023,BYU,Big 12,24.0,28.0,0.0,0.462
2024,BYU,Big 12,21.0,31.0,0.0,0.404
2025,BYU,Big 12,28.0,27.0,0.0,0.509090909090909
2017,Ball St.,Mid-American,30.0,28.0,0.0,0.517
2018,Ball St.,Mid-American,32.0,26.0,0.0,0.552
2019,Ball St.,Mid-American,38.0,19.0,0.0,0.667
2021,Ball St.,Mid-American,38.0,18.0,0.0,0.679
2022,Ball St.,Mid-American,40.0,19.0,0.0,0.678
2023,Ball St.,Mid-American,36.0,23.0,0.0,0.61
2024,Ball St.,Mid-American,35.0,23.0,1.0,0.602
2025,Ball St.,Mid-American,36.0,22.0,0.0,0.6206896551724138
2017,Baylor,Big 12,34.0,23.0,0.0,0.596
2018,Baylor,Big 12,37.0,21.0,0.0,0.638
2019,Baylor,Big 12,35.0,19.0,0.0,0.648
2021,Baylor,Big 12,31.0,20.0,0.0,0.608
2022,Baylor,Big 12,26.0,28.0,0.0,0.481
2023,Baylor,Big 12,20.0,35.0,0.0,0.364
2024,Baylor,Big 12,22.0,31.0,0.0,0.415
2025,Baylor,Big 12,33.0,22.0,0.0,0.6
2025,Bellarmine,Atlantic Sun,17.0,38.0,0.0,0.3090909090909091
2017,Belmont,Missouri Valley,31.0,29.0,0.0,0.517
2018,Belmont,Missouri Valley,19.0,36.0,0.0,0.345
2019,Belmont,Missouri Valley,27.0,30.0,0.0,0.474
2021,Belmont,Missouri Valley,22.0,30.0,0.0,0.423
2022,Belmont,Missouri Valley,39.0,20.0,0.0,0.661
2023,Belmont,Missouri Valley,27.0,33.0,0.0,0.45
2024,Belmont,Missouri Valley,26.0,32.0,0.0,0.448
2025,Belmont,Missouri Valley,26.0,34.0,0.0,0.43333333333333335
2017,Bethune-Cookman,SWAC,36.0,25.0,0.0,0.59
2018,Bethune-Cookman,SWAC,24.0,34.0,0.0,0.414
2019,Bethune-Cookman,SWAC,17.0,38.0,0.0,0.309
2022,Bethune-Cookman,SWAC,27.0,32.0,0.0,0.458
2023,Bethune-Cookman,SWAC,33.0,27.0,0.0,0.55
2024,Bethune-Cookman,SWAC,32.0,27.0,0.0,0.542
2025,Bethune-Cookman,SWAC,37.0,23.0,0.0,0.6166666666666667
2017,Binghamton,America East,30.0,13.0,0.0,0.698
2018,Binghamton,America East,18.0,30.0,1.0,0.378
2019,Binghamton,America East,26.0,24.0,0.0,0.52
2021,Binghamton,America East,16.0,20.0,0.0,0.444
2022,Binghamton,America East,22.0,30.0,0.0,0.423
2023,Binghamton,America East,29.0,23.0,0.0,0.558
2024,Binghamton,America East,21.0,29.0,0.0,0.42
2025,Binghamton,America East,29.0,26.0,0.0,0.5272727272727272
2017,Boston College,ACC,25.0,28.0,0.0,0.472
2018,Boston College,ACC,17.0,32.0,0.0,0.347
2019,Boston College,ACC,31.0,27.0,0.0,0.534
2021,Boston College,ACC,21.0,28.0,0.0,0.429
2022,Boston College,ACC,19.0,34.0,0.0,0.358
2023,Boston College,ACC,37.0,20.0,0.0,0.649
2024,Boston College,ACC,22.0,31.0,0.0,0.415
2025,Boston College,ACC,28.0,29.0,0.0,0.49122807017543857
2017,Bowling Green,Mid-American,15.0,34.0,0.0,0.306
2018,Bowling Green,Mid-American,11.0,39.0,0.0,0.22
2019,Bowling Green,Mid-American,16.0,33.0,0.0,0.327
2021,Bowling Green,Mid-American,20.0,30.0,0.0,0.4
2022,Bowling Green,Mid-American,18.0,34.0,0.0,0.346
2023,Bowling Green,Mid-American,20.0,30.0,0.0,0.4
2024,Bowling Green,Mid-American,33.0,20.0,0.0,0.623
2025,Bowling Green,Mid-American,33.0,22.0,0.0,0.6
2017,Bradley,Missouri Valley,20.0,31.0,0.0,0.392
2018,Bradley,Missouri Valley,32.0,19.0,0.0,0.627
2019,Bradley,Missouri Valley,31.0,19.0,0.0,0.62
2021,Bradley,Missouri Valley,20.0,22.0,0.0,0.476
2022,Bradley,Missouri Valley,20.0,29.0,0.0,0.408
2023,Bradley,Missouri Valley,16.0,32.0,0.0,0.333
2024,Bradley,Missouri Valley,13.0,37.0,1.0,0.265
2025,Bradley,Missouri Valley,16.0,35.0,0.0,0.3137254901960784
2017,Brown,Ivy League,13.0,24.0,0.0,0.351
2018,Brown,Ivy League,11.0,26.0,0.0,0.297
2019,Brown,Ivy League,12.0,27.0,0.0,0.308
2022,Brown,Ivy League,13.0,23.0,0.0,0.361
2023,Brown,Ivy League,12.0,26.0,0.0,0.316
2024,Brown,Ivy League,11.0,28.0,0.0,0.282
2025,Brown,Ivy League,,,,
2017,Bryant,America East,29.0,26.0,0.0,0.527
2018,Bryant,America East,32.0,23.0,1.0,0.58
2019,Bryant,America East,40.0,20.0,0.0,0.667
2021,Bryant,America East,27.0,14.0,1.0,0.655
2022,Bryant,America East,30.0,27.0,0.0,0.526
2023,Bryant,America East,26.0,24.0,0.0,0.52
2024,Bryant,America East,36.0,21.0,0.0,0.632
2025,Bryant,America East,36.0,19.0,1.0,0.6545454545454545
2017,Bucknell,Patriot League,21.0,28.0,0.0,0.429
2018,Bucknell,Patriot League,17.0,27.0,1.0,0.389
2019,Bucknell,Patriot League,14.0,33.0,0.0,0.298
2021,Bucknell,Patriot League,11.0,22.0,0.0,0.333
2022,Bucknell,Patriot League,22.0,26.0,0.0,0.458
2023,Bucknell,Patriot League,23.0,23.0,1.0,0.5
2024,Bucknell,Patriot League,22.0,24.0,0.0,0.478
2025,Bucknell,Patriot League,18.0,27.0,0.0,0.4
2017,Buffalo,Mid-American,17.0,34.0,0.0,0.333
2017,Butler,Big East,31.0,20.0,0.0,0.608
2018,Butler,Big East,34.0,20.0,0.0,0.63
2019,Butler,Big East,26.0,26.0,0.0,0.5
2021,Butler,Big East,14.0,23.0,0.0,0.378
2022,Butler,Big East,20.0,35.0,1.0,0.366
2023,Butler,Big East,12.0,43.0,0.0,0.218
2024,Butler,Big East,20.0,35.0,0.0,0.364
2025,Butler,Big East,15.0,39.0,0.0,0.2777777777777778
2017,CSU Bakersfield,Big West,32.0,24.0,0.0,0.571
2018,CSU Bakersfield,Big West,21.0,36.0,0.0,0.368
2019,CSU Bakersfield,Big West,24.0,35.0,0.0,0.407
2021,CSU Bakersfield,Big West,20.0,23.0,0.0,0.465
2022,CSU Bakersfield,Big West,18.0,34.0,0.0,0.346
2023,CSU Bakersfield,Big West,18.0,34.0,0.0,0.346
2024,CSU Bakersfield,Big West,15.0,38.0,0.0,0.283
2025,CSU Bakersfield,Big West,18.0,38.0,0.0,0.32142857142857145
2017,CSUN,Big West,26.0,29.0,0.0,0.473
2018,CSUN,Big West,28.0,30.0,0.0,0.483
2019,CSUN,Big West,23.0,32.0,0.0,0.418
2021,CSUN,Big West,21.0,19.0,0.0,0.525
2022,CSUN,Big West,32.0,22.0,0.0,0.593
2023,CSUN,Big West,34.0,17.0,0.0,0.667
2024,CSUN,Big West,30.0,24.0,0.0,0.556
2025,CSUN,Big West,15.0,34.0,0.0,0.30612244897959184
2017,Cal Poly,Big West,28.0,28.0,0.0,0.5
2018,Cal Poly,Big West,30.0,27.0,0.0,0.526
2019,Cal Poly,Big West,28.0,28.0,0.0,0.5
2021,Cal Poly,Big West,31.0,25.0,0.0,0.554
2022,Cal Poly,Big West,37.0,21.0,0.0,0.638
2023,Cal Poly,Big West,21.0,35.0,0.0,0.375
2024,Cal Poly,Big West,35.0,22.0,0.0,0.614
2025,Cal Poly,Big West,43.0,19.0,0.0,0.6935483870967742
2017,Cal St. Fullerton,Big West,39.0,24.0,0.0,0.619
2018,Cal St. Fullerton,Big West,36.0,25.0,0.0,0.59
2019,Cal St. Fullerton,Big West,27.0,26.0,0.0,0.509
2021,Cal St. Fullerton,Big West,20.0,35.0,0.0,0.364
2022,Cal St. Fullerton,Big West,22.0,33.0,0.0,0.4
2023,Cal St. Fullerton,Big West,32.0,24.0,0.0,0.571
2024,Cal St. Fullerton,Big West,16.0,38.0,0.0,0.296
2025,Cal St. Fullerton,Big West,29.0,27.0,0.0,0.5178571428571429
2017,California,ACC,25.0,29.0,0.0,0.463
2018,California,ACC,32.0,22.0,0.0,0.593
2019,California,ACC,32.0,20.0,0.0,0.615
2021,California,ACC,29.0,26.0,0.0,0.527
2022,California,ACC,29.0,27.0,0.0,0.518
