Season,Name,Conference,W,L,T,PCT
2025,LSU,SEC,53.0,15.0,0.0,0.7794117647058824
2017,La Salle,Atlantic 10,10.0,41.0,0.0,0.196
2018,La Salle,Atlantic 10,14.0,41.0,0.0,0.255
2019,La Salle,Atlantic 10,25.0,31.0,0.0,0.446
2021,La Salle,Atlantic 10,32.0,21.0,0.0,0.604
2017,Lafayette,Patriot League,8.0,44.0,0.0,0.154
2018,Lafayette,Patriot League,16.0,34.0,1.0,0.324
2019,Lafayette,Patriot League,19.0,33.0,0.0,0.365
2021,Lafayette,Patriot League,14.0,17.0,0.0,0.452
2022,Lafayette,Patriot League,15.0,35.0,0.0,0.3
2023,Lafayette,Patriot League,15.0,37.0,0.0,0.288
2024,Lafayette,Patriot League,14.0,35.0,0.0,0.286
2025,Lafayette,Patriot League,14.0,35.0,0.0,0.2857142857142857
2017,Lamar University,Southland,33.0,25.0,0.0,0.569
2018,Lamar University,Southland,19.0,36.0,0.0,0.345
2019,Lamar University,Southland,18.0,36.0,0.0,0.333
2021,Lamar University,Southland,25.0,23.0,0.0,0.521
2022,Lamar University,Southland,37.0,21.0,0.0,0.638
2023,Lamar University,Southland,32.0,23.0,0.0,0.582
2024,Lamar University,Southland,44.0,15.0,0.0,0.746
2025,Lamar University,Southland,40.0,17.0,0.0,0.7017543859649122
2017,Lehigh,Patriot League,21.0,29.0,0.0,0.42
2018,Lehigh,Patriot League,22.0,27.0,0.0,0.449
2019,Lehigh,Patriot League,21.0,28.0,0.0,0.429
2021,Lehigh,Patriot League,24.0,19.0,0.0,0.558
2022,Lehigh,Patriot League,26.0,24.0,0.0,0.52
2023,Lehigh,Patriot League,24.0,26.0,0.0,0.48
2024,Lehigh,Patriot League,24.0,23.0,1.0,0.51
2025,Lehigh,Patriot League,24.0,26.0,0.0,0.48
2017,Liberty,Conference USA,32.0,23.0,0.0,0.582
2018,Liberty,Conference USA,32.0,26.0,0.0,0.552
2019,Liberty,Conference USA,43.0,21.0,0.0,0.672
2021,Liberty,Conference USA,41.0,16.0,0.0,0.719
2022,Liberty,Conference USA,37.0,23.0,0.0,0.617
2023,Liberty,Conference USA,27.0,31.0,0.0,0.466
2024,Liberty,Conference USA,24.0,34.0,0.0,0.414
2025,Liberty,Conference USA,30.0,27.0,0.0,0.5263157894736842
2017,Lipscomb,Atlantic Sun,28.0,28.0,0.0,0.5
2018,Lipscomb,Atlantic Sun,24.0,30.0,0.0,0.444
2019,Lipscomb,Atlantic Sun,30.0,25.0,0.0,0.545
2021,Lipscomb,Atlantic Sun,18.0,29.0,0.0,0.383
2022,Lipscomb,Atlantic Sun,35.0,23.0,0.0,0.603
2023,Lipscomb,Atlantic Sun,36.0,26.0,0.0,0.581
2024,Lipscomb,Atlantic Sun,22.0,34.0,0.0,0.393
2025,Lipscomb,Atlantic Sun,25.0,30.0,0.0,0.45454545454545453
2017,Little Rock,Ohio Valley,21.0,34.0,0.0,0.382
2018,Little Rock,Ohio Valley,28.0,28.0,0.0,0.5
2019,Little Rock,Ohio Valley,29.0,28.0,0.0,0.509
2021,Little Rock,Ohio Valley,21.0,30.0,0.0,0.412
2022,Little Rock,Ohio Valley,24.0,27.0,0.0,0.471
2023,Little Rock,Ohio Valley,31.0,23.0,0.0,0.574
2024,Little Rock,Ohio Valley,32.0,24.0,0.0,0.571
2025,Little Rock,Ohio Valley,27.0,34.0,0.0,0.4426229508196721
2017,Long Beach St.,Big West,42.0,20.0,1.0,0.675
2018,Long Beach St.,Big West,27.0,30.0,0.0,0.474
2019,Long Beach St.,Big West,14.0,41.0,0.0,0.255
2021,Long Beach St.,Big West,28.0,15.0,0.0,0.651
2022,Long Beach St.,Big West,29.0,27.0,0.0,0.518
2023,Long Beach St.,Big West,33.0,22.0,0.0,0.6
2024,Long Beach St.,Big West,25.0,29.0,1.0,0.464
2025,Long Beach St.,Big West,22.0,31.0,0.0,0.41509433962264153
2017,Longwood,Big South,19.0,34.0,0.0,0.358
2018,Longwood,Big South,17.0,38.0,0.0,0.309
2019,Longwood,Big South,11.0,41.0,0.0,0.212
2021,Longwood,Big South,17.0,32.0,0.0,0.347
2022,Longwood,Big South,20.0,33.0,0.0,0.377
2023,Longwood,Big South,23.0,31.0,0.0,0.426
2024,Longwood,Big South,23.0,29.0,0.0,0.442
2025,Longwood,Big South,14.0,38.0,0.0,0.2692307692307692
2017,Louisiana,Sun Belt,35.0,21.0,1.0,0.623
2018,Louisiana,Sun Belt,34.0,25.0,0.0,0.576
2019,Louisiana,Sun Belt,28.0,31.0,0.0,0.475
2021,Louisiana,Sun Belt,32.0,23.0,0.0,0.582
2022,Louisiana,Sun Belt,37.0,23.0,0.0,0.617
2023,Louisiana,Sun Belt,41.0,24.0,0.0,0.631
2024,Louisiana,Sun Belt,42.0,20.0,0.0,0.677
2025,Louisiana,Sun Belt,27.0,31.0,0.0,0.46551724137931033
2017,Louisiana Tech,Conference USA,36.0,20.0,0.0,0.643
2018,Louisiana Tech,Conference USA,39.0,20.0,0.0,0.661
2019,Louisiana Tech,Conference USA,34.0,24.0,0.0,0.586
2021,Louisiana Tech,Conference USA,42.0,20.0,0.0,0.677
2022,Louisiana Tech,Conference USA,43.0,21.0,0.0,0.672
2023,Louisiana Tech,Conference USA,28.0,31.0,0.0,0.475
2024,Louisiana Tech,Conference USA,45.0,19.0,0.0,0.703
2025,Louisiana Tech,Conference USA,32.0,25.0,0.0,0.5614035087719298
2017,Louisville,ACC,53.0,12.0,0.0,0.815
2018,Louisville,ACC,45.0,19.0,0.0,0.703
2019,Louisville,ACC,51.0,18.0,0.0,0.739
2021,Louisville,ACC,28.0,22.0,0.0,0.56
2022,Louisville,ACC,42.0,21.0,1.0,0.664
2023,Louisville,ACC,31.0,24.0,0.0,0.564
2024,Louisville,ACC,32.0,24.0,0.0,0.571
2025,Louisville,ACC,42.0,24.0,0.0,0.6363636363636364
2017,Maine,America East,25.0,29.0,0.0,0.463
2018,Maine,America East,20.0,34.0,0.0,0.37
2019,Maine,America East,15.0,34.0,0.0,0.306
2021,Maine,America East,22.0,22.0,0.0,0.5
2022,Maine,America East,27.0,22.0,0.0,0.551
2023,Maine,America East,32.0,21.0,0.0,0.604
2024,Maine,America East,12.0,37.0,0.0,0.245
2025,Maine,America East,20.0,31.0,0.0,0.39215686274509803
2017,Manhattan,Metro Atlantic,18.0,35.0,0.0,0.34
2018,Manhattan,Metro Atlantic,25.0,28.0,0.0,0.472
2019,Manhattan,Metro Atlantic,26.0,33.0,0.0,0.441
2021,Manhattan,Metro Atlantic,12.0,24.0,0.0,0.333
2022,Manhattan,Metro Atlantic,24.0,26.0,0.0,0.48
2023,Manhattan,Metro Atlantic,22.0,34.0,0.0,0.393
2024,Manhattan,Metro Atlantic,22.0,30.0,0.0,0.423
2025,Manhattan,Metro Atlantic,20.0,28.0,0.0,0.4166666666666667
2017,Marist,Metro Atlantic,32.0,23.0,0.0,0.582
2018,Marist,Metro Atlantic,27.0,23.0,0.0,0.54
2019,Marist,Metro Atlantic,27.0,26.0,0.0,0.509
2021,Marist,Metro Atlantic,18.0,11.0,0.0,0.621
2022,Marist,Metro Atlantic,29.0,17.0,0.0,0.63
2023,Marist,Metro Atlantic,16.0,36.0,0.0,0.308
2024,Marist,Metro Atlantic,20.0,35.0,0.0,0.364
2025,Marist,Metro Atlantic,26.0,28.0,0.0,0.48148148148148145
2017,Marshall,Sun Belt,25.0,29.0,0.0,0.463
2018,Marshall,Sun Belt,19.0,31.0,0.0,0.38
2019,Marshall,Sun Belt,29.0,28.0,0.0,0.509
2021,Marshall,Sun Belt,10.0,35.0,0.0,0.222
2022,Marshall,Sun Belt,20.0,34.0,1.0,0.373
2023,Marshall,Sun Belt,16.0,37.0,0.0,0.302
2024,Marshall,Sun Belt,18.0,37.0,0.0,0.327
2025,Marshall,Sun Belt,33.0,26.0,0.0,0.559322033898305
2017,Maryland,Big Ten,38.0,23.0,0.0,0.623
2018,Maryland,Big Ten,24.0,30.0,0.0,0.444
2019,Maryland,Big Ten,29.0,29.0,0.0,0.5
2021,Maryland,Big Ten,30.0,18.0,0.0,0.625
2022,Maryland,Big Ten,48.0,14.0,0.0,0.774
2023,Maryland,Big Ten,42.0,21.0,0.0,0.667
2024,Maryland,Big Ten,34.0,22.0,0.0,0.607
2025,Maryland,Big Ten,27.0,29.0,0.0,0.48214285714285715
2017,Massachusetts,Mid-American,15.0,32.0,0.0,0.319
2018,Massachusetts,Mid-American,15.0,29.0,0.0,0.341
2019,Massachusetts,Mid-American,18.0,27.0,0.0,0.4
2021,Massachusetts,Mid-American,13.0,30.0,0.0,0.302
2022,Massachusetts,Mid-American,22.0,26.0,1.0,0.459
2023,Massachusetts,Mid-American,14.0,35.0,0.0,0.286
2024,Massachusetts,Mid-American,24.0,29.0,0.0,0.453
2025,Massachusetts,Mid-American,14.0,34.0,1.0,0.2916666666666667
2017,McNeese,Southland,37.0,20.0,0.0,0.649
2018,McNeese,Southland,25.0,33.0,0.0,0.431
2019,McNeese,Southland,35.0,26.0,0.0,0.574
2021,McNeese,Southland,32.0,30.0,0.0,0.516
2022,McNeese,Southland,34.0,23.0,0.0,0.596
2023,McNeese,Southland,35.0,23.0,0.0,0.603
2024,McNeese,Southland,32.0,27.0,0.0,0.542
2025,McNeese,Southland,31.0,17.0,0.0,0.6458333333333334
2017,Memphis,American Athletic,30.0,29.0,0.0,0.508
2018,Memphis,American Athletic,20.0,36.0,0.0,0.357
2019,Memphis,American Athletic,27.0,28.0,0.0,0.491
2021,Memphis,American Athletic,18.0,39.0,0.0,0.316
2022,Memphis,American Athletic,26.0,29.0,0.0,0.473
2023,Memphis,American Athletic,29.0,28.0,0.0,0.509
2024,Memphis,American Athletic,23.0,32.0,0.0,0.418
2025,Memphis,American Athletic,22.0,33.0,0.0,0.4
2017,Mercer,Southern Conference,39.0,17.0,0.0,0.696
2018,Mercer,Southern Conference,38.0,22.0,0.0,0.633
2019,Mercer,Southern Conference,35.0,29.0,0.0,0.547
2021,Mercer,Southern Conference,35.0,22.0,0.0,0.614
2022,Mercer,Southern Conference,40.0,18.0,0.0,0.69
2023,Mercer,Southern Conference,33.0,25.0,0.0,0.569
2024,Mercer,Southern Conference,29.0,29.0,0.0,0.5
2025,Mercer,Southern Conference,35.0,25.0,0.0,0.5833333333333334
2024,Merrimack,Metro Atlantic,33.0,26.0,0.0,0.559
2025,Merrimack,Metro Atlantic,17.0,33.0,1.0,0.34
2017,Miami (FL),ACC,31.0,27.0,0.0,0.534
2018,Miami (FL),ACC,28.0,26.0,0.0,0.519
2019,Miami (FL),ACC,41.0,20.0,0.0,0.672
2021,Miami (FL),ACC,33.0,21.0,0.0,0.611
2022,Miami (FL),ACC,40.0,20.0,0.0,0.667
2023,Miami (FL),ACC,42.0,21.0,0.0,0.667
2024,Miami (FL),ACC,27.0,30.0,0.0,0.474
2025,Miami (FL),ACC,35.0,27.0,0.0,0.5645161290322581
2017,Miami (OH),Mid-American,22.0,34.0,0.0,0.393
2018,Miami (OH),Mid-American,35.0,20.0,0.0,0.636
2019,Miami (OH),Mid-American,37.0,19.0,0.0,0.661
2021,Miami (OH),Mid-American,25.0,31.0,0.0,0.446
2022,Miami (OH),Mid-American,23.0,33.0,0.0,0.411
2023,Miami (OH),Mid-American,21.0,35.0,0.0,0.375
2024,Miami (OH),Mid-American,27.0,27.0,0.0,0.5
2025,Miami (OH),Mid-American,35.0,23.0,0.0,0.603448275862069
2017,Michigan,Big Ten,42.0,17.0,0.0,0.712
2018,Michigan,Big Ten,33.0,21.0,0.0,0.611
2019,Michigan,Big Ten,50.0,22.0,0.0,0.694
2021,Michigan,Big Ten,27.0,19.0,0.0,0.587
2022,Michigan,Big Ten,34.0,28.0,0.0,0.548
2023,Michigan,Big Ten,28.0,28.0,0.0,0.5
2024,Michigan,Big Ten,32.0,28.0,0.0,0.533
2025,Michigan,Big Ten,33.0,23.0,0.0,0.5892857142857143
2017,Michigan St.,Big Ten,29.0,23.0,0.0,0.558
2018,Michigan St.,Big Ten,20.0,32.0,0.0,0.385
2019,Michigan St.,Big Ten,20.0,34.0,0.0,0.37
2021,Michigan St.,Big Ten,17.0,27.0,0.0,0.386
2022,Michigan St.,Big Ten,24.0,30.0,0.0,0.444
2023,Michigan St.,Big Ten,33.0,22.0,0.0,0.6
2024,Michigan St.,Big Ten,24.0,27.0,0.0,0.471
2025,Michigan St.,Big Ten,28.0,27.0,0.0,0.509090909090909
2017,Middle Tenn.,Conference USA,24.0,31.0,0.0,0.436
2018,Middle Tenn.,Conference USA,27.0,27.0,1.0,0.5
2019,Middle Tenn.,Conference USA,18.0,37.0,0.0,0.327
2021,Middle Tenn.,Conference USA,24.0,29.0,1.0,0.454
2022,Middle Tenn.,Conference USA,29.0,26.0,0.0,0.527
2023,Middle Tenn.,Conference USA,27.0,29.0,0.0,0.482
2024,Middle Tenn.,Conference USA,20.0,36.0,0.0,0.357
2025,Middle Tenn.,Conference USA,23.0,32.0,0.0,0.41818181818181815
2017,Milwaukee,Horizon League,22.0,32.0,0.0,0.407
2018,Milwaukee,Horizon League,26.0,28.0,0.0,0.481
2019,Milwaukee,Horizon League,35.0,21.0,1.0,0.623
2021,Milwaukee,Horizon League,22.0,33.0,0.0,0.4
2022,Milwaukee,Horizon League,20.0,30.0,0.0,0.4
2023,Milwaukee,Horizon League,25.0,32.0,0.0,0.439
2024,Milwaukee,Horizon League,19.0,36.0,0.0,0.345
2025,Milwaukee,Horizon League,24.0,35.0,0.0,0.4067796610169492
2017,Minnesota,Big Ten,36.0,21.0,0.0,0.632
2018,Minnesota,Big Ten,44.0,15.0,0.0,0.746
2019,Minnesota,Big Ten,29.0,27.0,0.0,0.518
2021,Minnesota,Big Ten,6.0,31.0,0.0,0.162
2022,Minnesota,Big Ten,16.0,36.0,0.0,0.308
2023,Minnesota,Big Ten,18.0,34.0,0.0,0.346
2024,Minnesota,Big Ten,25.0,23.0,0.0,0.521
2025,Minnesota,Big Ten,24.0,28.0,0.0,0.46153846153846156
2017,Mississippi St.,SEC,40.0,27.0,0.0,0.597
2018,Mississippi St.,SEC,39.0,29.0,0.0,0.574
2019,Mississippi St.,SEC,52.0,15.0,0.0,0.776
2021,Mississippi St.,SEC,50.0,18.0,0.0,0.735
2022,Mississippi St.,SEC,26.0,30.0,0.0,0.464
2023,Mississippi St.,SEC,27.0,26.0,0.0,0.509
2024,Mississippi St.,SEC,40.0,23.0,0.0,0.635
2025,Mississippi St.,SEC,36.0,23.0,0.0,0.6101694915254238
2017,Mississippi Val.,SWAC,7.0,34.0,0.0,0.171
2018,Mississippi Val.,SWAC,11.0,35.0,0.0,0.239
2019,Mississippi Val.,SWAC,8.0,27.0,0.0,0.229
2021,Mississippi Val.,SWAC,0.0,20.0,0.0,0.0
2022,Mississippi Val.,SWAC,10.0,31.0,1.0,0.25
2023,Mississippi Val.,SWAC,15.0,37.0,0.0,0.288
2024,Mississippi Val.,SWAC,12.0,34.0,0.0,0.261
2025,Mississippi Val.,SWAC,,,,
2017,Missouri,SEC,36.0,23.0,0.0,0.61
2018,Missouri,SEC,34.0,22.0,0.0,0.607
2019,Missouri,SEC,34.0,22.0,1.0,0.605
2021,Missouri,SEC,15.0,36.0,0.0,0.294
2022,Missouri,SEC,28.0,23.0,0.0,0.549
2023,Missouri,SEC,30.0,24.0,0.0,0.556
2024,Missouri,SEC,23.0,32.0,0.0,0.418
2025,Missouri,SEC,16.0,39.0,0.0,0.2909090909090909
2017,Missouri St.,Conference USA,43.0,20.0,0.0,0.683
2018,Missouri St.,Conference USA,40.0,17.0,0.0,0.702
2019,Missouri St.,Conference USA,20.0,36.0,0.0,0.357
2021,Missouri St.,Conference USA,21.0,23.0,0.0,0.477
2022,Missouri St.,Conference USA,31.0,29.0,0.0,0.517
2023,Missouri St.,Conference USA,33.0,23.0,0.0,0.589
2024,Missouri St.,Conference USA,23.0,34.0,0.0,0.404
2025,Missouri St.,Conference USA,30.0,25.0,0.0,0.5454545454545454
2017,Monmouth,Coastal Athletic,20.0,28.0,0.0,0.417
2018,Monmouth,Coastal Athletic,30.0,25.0,0.0,0.545
2019,Monmouth,Coastal Athletic,27.0,29.0,1.0,0.482
2021,Monmouth,Coastal Athletic,24.0,13.0,0.0,0.649
2022,Monmouth,Coastal Athletic,24.0,27.0,0.0,0.471
2023,Monmouth,Coastal Athletic,16.0,30.0,0.0,0.348
2024,Monmouth,Coastal Athletic,18.0,30.0,0.0,0.375
2025,Monmouth,Coastal Athletic,24.0,30.0,0.0,0.4444444444444444
2017,Morehead St.,Ohio Valley,36.0,23.0,0.0,0.61
2018,Morehead St.,Ohio Valley,37.0,26.0,0.0,0.587
2019,Morehead St.,Ohio Valley,40.0,21.0,0.0,0.656
2021,Morehead St.,Ohio Valley,24.0,23.0,0.0,0.511
2022,Morehead St.,Ohio Valley,27.0,27.0,0.0,0.5
2023,Morehead St.,Ohio Valley,36.0,20.0,0.0,0.643
2024,Morehead St.,Ohio Valley,37.0,24.0,0.0,0.607
2025,Morehead St.,Ohio Valley,14.0,39.0,0.0,0.2641509433962264
2017,Mount St. Mary's,Metro Atlantic,8.0,39.0,0.0,0.17
2018,Mount St. Mary's,Metro Atlantic,21.0,33.0,0.0,0.389
2019,Mount St. Mary's,Metro Atlantic,15.0,35.0,0.0,0.3
2021,Mount St. Mary's,Metro Atlantic,9.0,28.0,0.0,0.243
2022,Mount St. Mary's,Metro Atlantic,14.0,34.0,0.0,0.292
2023,Mount St. Mary's,Metro Atlantic,25.0,27.0,0.0,0.481
2024,Mount St. Mary's,Metro Atlantic,22.0,34.0,1.0,0.395
2025,Mount St. Mary's,Metro Atlantic,23.0,28.0,0.0,0.45098039215686275
2017,Murray St.,Missouri Valley,29.0,30.0,0.0,0.492
2018,Murray St.,Missouri Valley,27.0,29.0,0.0,0.482
2019,Murray St.,Missouri Valley,24.0,30.0,0.0,0.444
2021,Murray St.,Missouri Valley,33.0,25.0,0.0,0.569
2022,Murray St.,Missouri Valley,30.0,25.0,0.0,0.545
2023,Murray St.,Missouri Valley,31.0,28.0,0.0,0.525
2024,Murray St.,Missouri Valley,37.0,20.0,0.0,0.649
2025,Murray St.,Missouri Valley,44.0,17.0,0.0,0.7213114754098361
2017,N.C. A&T,Coastal Athletic,28.0,25.0,0.0,0.528
2018,N.C. A&T,Coastal Athletic,32.0,25.0,0.0,0.561
2019,N.C. A&T,Coastal Athletic,29.0,24.0,0.0,0.547
2021,N.C. A&T,Coastal Athletic,22.0,32.0,0.0,0.407
2022,N.C. A&T,Coastal Athletic,15.0,38.0,0.0,0.283
2023,N.C. A&T,Coastal Athletic,19.0,28.0,0.0,0.404
2024,N.C. A&T,Coastal Athletic,25.0,28.0,0.0,0.472
2025,N.C. A&T,Coastal Athletic,15.0,37.0,0.0,0.28846153846153844
2017,N.C. Central,MEAC,22.0,28.0,0.0,0.44
2018,N.C. Central,MEAC,28.0,24.0,0.0,0.538
2019,N.C. Central,MEAC,21.0,28.0,0.0,0.429
2021,N.C. Central,MEAC,27.0,20.0,0.0,0.574
2017,NC State,ACC,36.0,25.0,0.0,0.59
2018,NC State,ACC,42.0,18.0,0.0,0.7
2019,NC State,ACC,42.0,19.0,0.0,0.689
2021,NC State,ACC,37.0,19.0,0.0,0.661
2022,NC State,ACC,36.0,21.0,0.0,0.632
2023,NC State,ACC,36.0,21.0,0.0,0.632
2024,NC State,ACC,38.0,23.0,0.0,0.623
2025,NC State,ACC,35.0,21.0,0.0,0.625
2017,NIU,Mid-American,17.0,38.0,0.0,0.309
2018,NIU,Mid-American,20.0,36.0,0.0,0.357
2019,NIU,Mid-American,20.0,36.0,0.0,0.357
2021,NIU,Mid-American,16.0,38.0,0.0,0.296
2022,NIU,Mid-American,14.0,40.0,0.0,0.259
2023,NIU,Mid-American,10.0,43.0,0.0,0.189
2024,NIU,Mid-American,21.0,33.0,0.0,0.389
2025,NIU,Mid-American,21.0,33.0,0.0,0.3888888888888889
2017,NJIT,America East,9.0,40.0,0.0,0.184
2018,NJIT,America East,22.0,25.0,0.0,0.468
2019,NJIT,America East,17.0,27.0,1.0,0.389
2021,NJIT,America East,27.0,24.0,0.0,0.529
2022,NJIT,America East,26.0,27.0,0.0,0.491
2023,NJIT,America East,22.0,31.0,0.0,0.415
2024,NJIT,America East,26.0,28.0,0.0,0.481
2025,NJIT,America East,27.0,26.0,0.0,0.5094339622641509
2017,Navy,Patriot League,37.0,17.0,0.0,0.685
2018,Navy,Patriot League,38.0,16.0,0.0,0.704
2019,Navy,Patriot League,39.0,17.0,0.0,0.696
2021,Navy,Patriot League,17.0,15.0,0.0,0.531
2022,Navy,Patriot League,19.0,26.0,0.0,0.422
2023,Navy,Patriot League,23.0,27.0,0.0,0.46
2024,Navy,Patriot League,28.0,23.0,0.0,0.549
2025,Navy,Patriot League,26.0,25.0,0.0,0.5098039215686274
2017,Nebraska,Big Ten,35.0,22.0,1.0,0.612
2018,Nebraska,Big Ten,24.0,28.0,0.0,0.462
2019,Nebraska,Big Ten,32.0,24.0,0.0,0.571
2021,Nebraska,Big Ten,34.0,14.0,0.0,0.708
2022,Nebraska,Big Ten,23.0,30.0,0.0,0.434
2023,Nebraska,Big Ten,33.0,23.0,1.0,0.588
2024,Nebraska,Big Ten,40.0,22.0,0.0,0.645
2025,Nebraska,Big Ten,33.0,29.0,0.0,0.532258064516129
2017,Nevada,Mountain West,19.0,36.0,0.0,0.345
2018,Nevada,Mountain West,29.0,24.0,0.0,0.547
2019,Nevada,Mountain West,30.0,26.0,0.0,0.536
2021,Nevada,Mountain West,25.0,20.0,0.0,0.556
2022,Nevada,Mountain West,29.0,26.0,0.0,0.527
2023,Nevada,Mountain West,20.0,33.0,0.0,0.377
2024,Nevada,Mountain West,25.0,26.0,0.0,0.49
2025,Nevada,Mountain West,34.0,23.0,0.0,0.5964912280701754
2017,New Mexico,Mountain West,30.0,27.0,1.0,0.526
2018,New Mexico,Mountain West,20.0,33.0,1.0,0.38
2019,New Mexico,Mountain West,23.0,28.0,1.0,0.452
2021,New Mexico,Mountain West,16.0,25.0,0.0,0.39
2022,New Mexico,Mountain West,21.0,33.0,0.0,0.389
2023,New Mexico,Mountain West,26.0,25.0,0.0,0.51
2024,New Mexico,Mountain West,28.0,26.0,0.0,0.519
2025,New Mexico,Mountain West,30.0,23.0,0.0,0.5660377358490566
2017,New Mexico St.,Conference USA,35.0,22.0,0.0,0.614
2018,New Mexico St.,Conference USA,40.0,22.0,0.0,0.645
2019,New Mexico St.,Conference USA,38.0,17.0,0.0,0.691
2021,New Mexico St.,Conference USA,20.0,34.0,0.0,0.37
2022,New Mexico St.,Conference USA,24.0,34.0,0.0,0.414
2023,New Mexico St.,Conference USA,14.0,37.0,0.0,0.275
2024,New Mexico St.,Conference USA,25.0,29.0,0.0,0.463
2025,New Mexico St.,Conference USA,23.0,33.0,0.0,0.4107142857142857
2017,New Orleans,Southland,30.0,28.0,1.0,0.517
2018,New Orleans,Southland,29.0,32.0,0.0,0.475
2019,New Orleans,Southland,29.0,27.0,0.0,0.518
2021,New Orleans,Southland,29.0,28.0,0.0,0.509
2022,New Orleans,Southland,30.0,23.0,0.0,0.566
2023,New Orleans,Southland,36.0,24.0,0.0,0.6
2024,New Orleans,Southland,31.0,26.0,0.0,0.544
2025,New Orleans,Southland,28.0,26.0,0.0,0.5185185185185185
2017,New York Tech,Independent,5.0,36.0,1.0,0.131
2017,Niagara,Metro Atlantic,24.0,24.0,0.0,0.5
2018,Niagara,Metro Atlantic,24.0,27.0,0.0,0.471
2019,Niagara,Metro Atlantic,15.0,33.0,0.0,0.313
2021,Niagara,Metro Atlantic,17.0,17.0,0.0,0.5
2022,Niagara,Metro Atlantic,22.0,32.0,0.0,0.407
2023,Niagara,Metro Atlantic,24.0,22.0,1.0,0.521
2024,Niagara,Metro Atlantic,38.0,17.0,0.0,0.691
2025,Niagara,Metro Atlantic,19.0,28.0,0.0,0.40425531914893614
2017,Nicholls,Southland,29.0,27.0,0.0,0.518
2018,Nicholls,Southland,28.0,32.0,0.0,0.467
2019,Nicholls,Southland,27.0,28.0,0.0,0.491
2021,Nicholls,Southland,21.0,34.0,0.0,0.382
2022,Nicholls,Southland,26.0,25.0,0.0,0.51
2023,Nicholls,Southland,34.0,24.0,0.0,0.586
2024,Nicholls,Southland,38.0,22.0,0.0,0.633
2025,Nicholls,Southland,17.0,32.0,0.0,0.3469387755102041
2017,Norfolk St.,Northeast,26.0,22.0,0.0,0.542
2018,Norfolk St.,Northeast,19.0,30.0,0.0,0.388
2019,Norfolk St.,Northeast,24.0,26.0,0.0,0.48
2021,Norfolk St.,Northeast,25.0,28.0,0.0,0.472
2022,Norfolk St.,Northeast,15.0,32.0,0.0,0.319
2023,Norfolk St.,Northeast,9.0,42.0,0.0,0.176
2024,Norfolk St.,Northeast,12.0,41.0,0.0,0.226
2025,Norfolk St.,Northeast,,,,
2023,North Ala.,Atlantic Sun,14.0,37.0,0.0,0.275
2024,North Ala.,Atlantic Sun,18.0,35.0,1.0,0.343
2025,North Ala.,Atlantic Sun,24.0,31.0,0.0,0.43636363636363634
2017,North Carolina,ACC,49.0,14.0,0.0,0.778
2018,North Carolina,ACC,44.0,20.0,0.0,0.688
2019,North Carolina,ACC,46.0,19.0,0.0,0.708
2021,North Carolina,ACC,28.0,27.0,0.0,0.509
2022,North Carolina,ACC,42.0,22.0,0.0,0.656
2023,North Carolina,ACC,36.0,24.0,0.0,0.6
2024,North Carolina,ACC,48.0,16.0,0.0,0.75
2025,North Carolina,ACC,46.0,15.0,0.0,0.7540983606557377
2017,North Dakota St.,Summit League,31.0,25.0,0.0,0.554
2018,North Dakota St.,Summit League,26.0,24.0,0.0,0.52
2019,North Dakota St.,Summit League,19.0,24.0,0.0,0.442
2021,North Dakota St.,Summit League,42.0,19.0,0.0,0.689
2022,North Dakota St.,Summit League,31.0,19.0,0.0,0.62
2023,North Dakota St.,Summit League,23.0,30.0,0.0,0.434
2024,North Dakota St.,Summit League,20.0,30.0,1.0,0.402
2025,North Dakota St.,Summit League,21.0,34.0,0.0,0.38181818181818183
2017,North Florida,Atlantic Sun,33.0,24.0,0.0,0.579
2018,North Florida,Atlantic Sun,28.0,28.0,0.0,0.5
2019,North Florida,Atlantic Sun,32.0,25.0,0.0,0.561
2021,North Florida,Atlantic Sun,22.0,23.0,0.0,0.489
2022,North Florida,Atlantic Sun,22.0,33.0,0.0,0.4
2023,North Florida,Atlantic Sun,28.0,27.0,0.0,0.509
2024,North Florida,Atlantic Sun,21.0,30.0,1.0,0.413
2025,North Florida,Atlantic Sun,27.0,29.0,0.0,0.48214285714285715
2017,Northeastern,Coastal Athletic,29.0,25.0,0.0,0.537
2018,Northeastern,Coastal Athletic,36.0,21.0,0.0,0.632
2019,Northeastern,Coastal Athletic,28.0,29.0,0.0,0.491
2021,Northeastern,Coastal Athletic,36.0,12.0,0.0,0.75
2022,Northeastern,Coastal Athletic,31.0,29.0,1.0,0.516
2023,Northeastern,Coastal Athletic,44.0,16.0,0.0,0.733
2024,Northeastern,Coastal Athletic,38.0,17.0,0.0,0.691
2025,Northeastern,Coastal Athletic,49.0,11.0,0.0,0.8166666666666667
2017,Northern Colo.,Summit League,24.0,30.0,0.0,0.444
2018,Northern Colo.,Summit League,29.0,24.0,0.0,0.547
2019,Northern Colo.,Summit League,12.0,35.0,0.0,0.255
2021,Northern Colo.,Summit League,11.0,36.0,0.0,0.234
2022,Northern Colo.,Summit League,12.0,39.0,0.0,0.235
2023,Northern Colo.,Summit League,11.0,34.0,0.0,0.244
2024,Northern Colo.,Summit League,16.0,38.0,1.0,0.3
2025,Northern Colo.,Summit League,18.0,33.0,0.0,0.35294117647058826
