team,season,week,n_players,woba_mean,woba_std,woba_p10,woba_p25,woba_p50,woba_p75,woba_p90,n_returning_players,n_unknown_players,pa_coverage,avg_K%,avg_BB%,avg_ISO,avg_BABIP,rank
MIA,2026,,19,0.4299550783822975,0.006166780732225099,0.42205063788962893,0.4257168035417098,0.42992405404600226,0.434136872849842,0.43783341569303547,19,0,1.0,0.18744382390750855,0.1205573041372409,0.17615498745739894,0.34185542550516207,38
WRST,2026,,13,0.42990620912099475,0.007207079486702165,0.4207414666536087,0.42501813393980664,0.4298546781661891,0.43479396952317156,0.4390079914086409,13,0,1.0,0.22553478820332098,0.11058084584322311,0.18052599398809235,0.3445890712068072,39
SAM,2026,,15,0.4295556125439796,0.007291188278491144,0.420245405961433,0.42449191119674234,0.4295433059397179,0.4344786561430929,0.4389660266188977,15,0,1.0,0.22427540155995349,0.11055341498853963,0.18670840440741399,0.3358134787088754,40
DBU,2026,,16,0.4294348841924742,0.007703331526297777,0.41969918122434974,0.4242769669636029,0.42927095067318605,0.4344762427944665,0.439418421212081,16,0,1.0,0.20845707695822646,0.12326260045869428,0.1809297489427447,0.3295649133527785,41
UNCW,2026,,17,0.4293598414159975,0.008180822095556366,0.41883831447057934,0.4238159724214667,0.4293467881093523,0.43490726971598415,0.4398704352252712,17,0,1.0,0.1955078468776858,0.13020712523309982,0.1698788570084779,0.3463029428653433,42
LBSU,2026,,16,0.429349255927008,0.008330867700606297,0.4187703399502902,0.4237557005011697,0.4291925039263415,0.4349601159409988,0.4400801732760273,16,0,1.0,0.22044461824831024,0.12007722982538721,0.1810975155700772,0.35457593676825694,43
OU,2026,,17,0.4293156420137712,0.006813014384724435,0.42049847285763087,0.42460344059609845,0.42936222586480954,0.4338902673577631,0.43797266998271606,17,0,1.0,0.19917381253125954,0.1425743180127734,0.1661123059595584,0.3409317367350122,44
JVST,2026,,16,0.42926419366452845,0.007387315543095929,0.4197534621365886,0.42417636744353626,0.42929674362190084,0.43427951109724283,0.4387523821128799,16,0,1.0,0.2073504782143903,0.11434186821109257,0.1772148285291097,0.342978251044213,45
SMC,2026,,16,0.42925474329116114,0.007723568548558365,0.41931044580278837,0.42394475984996854,0.4292493278512892,0.4344518891489405,0.4391542036674801,16,0,1.0,0.16632994641886634,0.10567286587249325,0.17031412619061534,0.34933253739456904,46
HALL,2026,,13,0.42922890853365153,0.009091566202084332,0.41755798449032805,0.4230944863675314,0.4290922514277158,0.43525135634742645,0.44094436682420113,13,0,1.0,0.2021860227931388,0.11751264200781769,0.17784976966433047,0.3480105233694264,47
SOU,2026,,18,0.4290462441227779,0.008727958993803239,0.4177838617163258,0.42318179421957425,0.42906612247633924,0.4347924579522557,0.4401537610928656,18,0,1.0,0.1839026418328803,0.12835656410446183,0.1614335102649921,0.3300815901011903,48
VT,2026,,13,0.42881111318950277,0.007496970184678371,0.41944755212815676,0.42365843087177546,0.42864406878016637,0.4338337125235112,0.4386642838847061,13,0,1.0,0.1985765958950096,0.12749150345988955,0.17013761302779265,0.33333657865912486,49
SIU,2026,,16,0.42851703072111597,0.00698830402359178,0.419642235723164,0.423681047054481,0.4283631258391485,0.43323542943142324,0.43753751497555915,16,0,1.0,0.17245153828872853,0.12105920110027156,0.17512844994256582,0.3312318831080051,50
ETSU,2026,,15,0.42819343982304836,0.008977134791061209,0.4167658565913234,0.4221110516614918,0.4280385284825432,0.43424356739472003,0.4397017987371503,15,0,1.0,0.18864675232913505,0.12142474073231994,0.16936140206436553,0.3392768885079188,51
TAR,2026,,14,0.42799017077840873,0.007647007222770721,0.4182755847830989,0.42274044223786045,0.42789718399606136,0.43311448167848976,0.43787493107789693,14,0,1.0,0.18296254621062077,0.11873378269613845,0.16822877713663956,0.3385480684213376,52
VILL,2026,,15,0.4277340068359823,0.007829930010632476,0.41772007488336677,0.4224317724340671,0.42768689872593246,0.43292729813398945,0.4379344143779878,15,0,1.0,0.19975282082484888,0.11568608998029724,0.17563537423146883,0.3443202325797345,53
GRAM,2026,,15,0.4277030700969837,0.008922582920025087,0.41621770485164833,0.4216203104865026,0.42757442637147325,0.43370100638819925,0.43922118078384825,15,0,1.0,0.20490012926872128,0.12539583331430415,0.1569366694830862,0.3305113084889896,54
UPST,2026,,15,0.42759886174314726,0.006938098304430369,0.41874680782257806,0.42281415632889097,0.4275932426253513,0.43231520279406266,0.43642425863480766,15,0,1.0,0.19252633023168617,0.11790990833651818,0.1629669659506223,0.33995462999436804,55
SLU,2026,,14,0.4275955113290916,0.0076935589873923195,0.41771067514368393,0.42232806176148585,0.42755350044661716,0.4327521105424784,0.4374589799799967,14,0,1.0,0.20803128048080013,0.1131258317513704,0.1834324970683969,0.34603282408890773,56
LT,2026,,14,0.42750587609826834,0.007776968131075497,0.41766138784876794,0.4221246495173503,0.4275007314330522,0.4327128402065964,0.4376478894453764,14,0,1.0,0.20825588703748282,0.12088507673118949,0.17348360504393764,0.3335881570674924,57
SC,2026,,17,0.4271941876985602,0.006792159524895288,0.4185592030408971,0.4225154925550811,0.4271219113992635,0.4318026162710328,0.4360463428321398,17,0,1.0,0.19466556724857378,0.11511975580900805,0.17679284972861395,0.33847144546381136,58
CLEM,2026,,10,0.4269707737724775,0.006931334531136273,0.4181309578027193,0.42226822092690663,0.426846393095592,0.431660621286545,0.43594803515270786,10,0,1.0,0.2008004876786332,0.11358222804987635,0.1913669084126745,0.337985295402899,59
USM,2026,,12,0.4268977575148969,0.006707009554103109,0.4183594362718062,0.4223628613479782,0.426874571940609,0.43136179312645184,0.43556750725757554,12,0,1.0,0.19804530669975495,0.11160972980542568,0.18117300277411583,0.34044161910325804,60
CONN,2026,,15,0.4268798045936781,0.009008380600892875,0.41526724621918776,0.4208108842676531,0.4269099331667373,0.43289084228805286,0.43853459444169274,15,0,1.0,0.2276758615808687,0.1150652454269318,0.16524895498213618,0.34154559682402397,61
SJU,2026,,13,0.426867460139403,0.00819875102011211,0.4165779979933352,0.421322382174571,0.42661146932775973,0.4323343650925764,0.4374751180585087,13,0,1.0,0.20102277838542337,0.12293879183901985,0.1642137974055238,0.33460723424923067,62
URI,2026,,16,0.42671366878135214,0.008688380089358261,0.4156125301486044,0.42084056286514193,0.4266095113353551,0.4325149910876302,0.43770315326477177,16,0,1.0,0.19788557246533683,0.11450492058885466,0.1677613391252577,0.3307473451044818,63
ASU,2026,,17,0.4265643338949789,0.006310101675225312,0.4184370331433136,0.4221917921706969,0.42655937053561566,0.4308767140845383,0.43463853876037356,17,0,1.0,0.17091241895120582,0.11023115688361981,0.17482354058847976,0.3368290013494573,64
VCU,2026,,14,0.42649969530087967,0.008593286970617406,0.41553469995767117,0.42073035274193216,0.42636524904074546,0.4320845907054819,0.4374868214578628,14,0,1.0,0.20037543458298906,0.10727363265583487,0.18691503999589568,0.3438406207272276,65
UCSD,2026,,12,0.42649934840004555,0.007776666369785098,0.41670270446437324,0.4212134448852705,0.4263671051427351,0.43164575001467487,0.4365707949847508,12,0,1.0,0.19448043604722862,0.11539679175101418,0.1775326913967653,0.32861908475535745,66
ND,2026,,13,0.4261827115445659,0.008460260947541114,0.4153684710194265,0.42035598618087755,0.42614164354174033,0.43181783757007897,0.43701207282289867,13,0,1.0,0.22863819184168194,0.11230930117828844,0.17998402261697952,0.34073707217547644,67
SDSU,2026,,11,0.4260429943354642,0.01182381908450756,0.411026955294496,0.4179511347182175,0.425807714511077,0.43397630460459474,0.4413141413635379,11,0,1.0,0.19396645021829534,0.11114086091139841,0.17034518048225258,0.3475829863583513,68
NU,2026,,14,0.4256887529866457,0.008552718708690914,0.4148000865825367,0.41993725877103055,0.425532229540708,0.4315324600839545,0.4366952075245801,14,0,1.0,0.2094640086128919,0.12381226344826905,0.17925510289837546,0.3402428256193752,69
UCF,2026,,18,0.42547402256250916,0.006873979466808646,0.4167718160471288,0.4207904848398636,0.42546799928085705,0.4299947407198371,0.4343860894533161,18,0,1.0,0.1904896792307957,0.12655699466068365,0.1657165743979461,0.3340706639973691,70
BAY,2026,,15,0.4254706935724655,0.008245413417934553,0.4149806014293274,0.41969776436392825,0.4253129896008102,0.43104386084478297,0.4361869394484136,15,0,1.0,0.21328212317922507,0.12346345999011184,0.17048649547899067,0.340751872138141,71
LEH,2026,,18,0.42520696691402393,0.007921168719450483,0.41498293393808416,0.41982266479824365,0.4251595266591731,0.4304575337943448,0.43546502224818684,18,0,1.0,0.19036074207578382,0.11369480761622208,0.170698856825901,0.3448891134532731,72
TROY,2026,,15,0.4243018914261951,0.006468700181263223,0.41601753724284,0.4199045997223574,0.42425183879450656,0.42862397258328655,0.4327174079511947,15,0,1.0,0.1977222816994777,0.11476961315162224,0.16637876085700945,0.3341930443443425,73
NIA,2026,,13,0.4242204579021958,0.0075889411417234915,0.41466603055889456,0.4189412709966182,0.42410087728807944,0.4292835770332496,0.4339870454236814,13,0,1.0,0.20162177021658323,0.11932258204941709,0.17453669994377966,0.3345845799373327,74
AUB,2026,,16,0.4241493048098444,0.00640159570446229,0.41594566430299384,0.4197918098593489,0.42415777668169413,0.4284255468319515,0.4323371592207027,16,0,1.0,0.1852193143716849,0.11566590219774701,0.17236979540682712,0.333064019084876,75
WOF,2026,,19,0.4239904822021228,0.0079399907656937,0.41390139965375644,0.4186514099870276,0.4239120984357009,0.4292650450826329,0.4341730249912997,19,0,1.0,0.1820802113938047,0.12380161961658208,0.16622879962637913,0.3374194991169059,76
