Season,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%
2025,Ben Kim,Florida A&M,JR,LF,0.262,0.364,0.359,0.723,50,174,145,28,38,7,2,1,19,1,24,30,4,1,17.2%,13.8%,1.25,0.097,0.316,0.344,22,-5,81,35.3%,23.3%,41.4%,9.5%,2.1%
2025,Ben Loyd,Northern Illinois,JR,SS,0.277,0.355,0.386,0.741,50,214,184,36,51,14,0,2,32,5,19,29,3,1,13.6%,8.9%,1.53,0.109,0.314,0.347,27,-6,82,45.7%,17.2%,37.1%,5.3%,3.6%
2025,Ben Martin,Alcorn State,JR,2B,0.274,0.354,0.369,0.723,43,182,157,27,43,12,0,1,27,9,12,31,9,0,17.0%,6.6%,2.58,0.096,0.328,0.341,23,-6,80,46.3%,20.3%,33.3%,2.4%,2.4%
2025,Ben Miller,Duke,GR,3B,0.314,0.413,0.624,1.037,61,293,245,59,77,13,0,21,63,13,31,58,2,1,19.8%,10.6%,1.87,0.31,0.329,0.446,61,15,133,39.8%,14.1%,46.1%,5.2%,23.9%
2025,Ben Niednagel,Air Force,JR,SS,0.247,0.374,0.348,0.722,51,198,158,30,39,7,3,1,26,1,31,45,9,5,22.7%,15.7%,1.45,0.101,0.339,0.349,26,-5,84,58.7%,17.3%,24.0%,3.8%,4.0%
2025,Ben North,Creighton,JR,SS,0.289,0.378,0.469,0.846,59,278,239,48,69,17,1,8,59,8,28,64,15,2,23.0%,10.1%,2.28,0.18,0.359,0.386,44,1,102,42.4%,18.6%,39.0%,4.5%,11.6%
2025,Ben Parker,William & Mary,GR,CF,0.407,0.498,0.684,1.182,56,273,231,70,94,23,4,11,50,12,30,33,17,4,12.1%,11.0%,1.1,0.277,0.444,0.522,74,31,173,43.1%,20.3%,36.5%,5.1%,15.3%
2025,Ben Robichaux,Southeastern Louisiana,JR,2B,0.291,0.41,0.515,0.925,42,164,134,33,39,4,1,8,25,5,22,48,5,0,29.3%,13.4%,2.19,0.224,0.397,0.419,31,5,119,39.0%,18.2%,42.9%,5.2%,24.2%
2025,Ben Rounds,Duke,GR,LF,0.3,0.433,0.519,0.952,58,262,210,53,63,15,2,9,39,12,38,59,4,2,22.5%,14.5%,1.55,0.219,0.378,0.434,52,11,127,52.0%,16.7%,31.3%,3.3%,19.1%
2025,Ben Slanker,Ohio,SO,RF,0.302,0.422,0.72,1.142,50,239,182,43,55,9,2,21,69,4,41,38,3,0,15.9%,17.2%,0.92,0.418,0.256,0.462,53,16,142,34.2%,9.2%,56.6%,9.2%,24.4%
